path	language	role	disposition	introduced_before
scripts/quality/factory-v2-commit-msg-check.sh	shell	FACTORY	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/factory-v2-range-check.sh	shell	FACTORY	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/factory-v2-test.sh	shell	FACTORY	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/factory-append-only-test.sh	shell	FACTORY	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/factory-closure-status-check.sh	shell	FACTORY	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/factory-halt-classification-check.sh	shell	FACTORY	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/factory-halt-classification-test.sh	shell	FACTORY	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/gate-fast.sh	shell	GATE	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/gate-push.sh	shell	GATE	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/harness-evidence-isolation-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/ir-return-slot-forwarding01-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-byte-memory01-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-closure-status-check.sh	shell	FACTORY	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-float01-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-gep01-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-intops01-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-memory01-nc5-probe.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-memory01-red-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-memory01-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-spike-contract-check.sh	shell	FACTORY	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/llvm-spike-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/native-x86-float-cmp-parity01-test.sh	shell	TEST	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/inventory.sh	shell	TOOL	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/shell-loc-gate.sh	shell	GATE	LEGACY	pre-SHELL-INVENTORY01
scripts/quality/selfhost-component-registry.sh	shell	TOOL	WRAPPER	SELFHOST-SURFACE01-CORRECTION01-C2.2
tools/selfhost/selfhost-component.sh	shell	TOOL	WRAPPER	SELFHOST-SURFACE01-CORRECTION01-C2.2
tools/quality/bootstrap01-lexer-oracle.c	c	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/bootstrap02-abi-host.c	c	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/bootstrap02-abi-probe.HC	polyc	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/bootstrap02-cursor-host.c	c	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/bootstrap02-cursor-oracle.c	c	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/bootstrap02-ident-host.c	c	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/bootstrap02-ident-oracle.c	c	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/bootstrap02-lexer-seam-fixture.h	c_header	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/bootstrap02-lexer-seam-runner.c	c	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/bootstrap02-lexer-test.HC	polyc	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/llvm-gep01-test.HC	polyc	POLYC_TOOL	LEGACY	TOOLING-MIGRATE-GEP01
tools/quality/rt01-child-fixture.c	c	TEST_FIXTURE	LEGACY	pre-SHELL-INVENTORY01
tools/quality/runtime01-selftest.HC	polyc	POLYC_TOOL	LEGACY	TOOLING-RUNTIME01
