path	has_dollar_identifier	stage0_rc	stage1_rc	stage0_class	stage1_class	stage0_artifact	stage1_artifact	byte_equal	verdict	reason
src/holyc-lib/all.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/0_all.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/0_all.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/bitvec.HC	0	1	1	COMPILE_FAIL	COMPILE_FAIL			N/A	STAGE0_FAIL_STAGE1_FAIL	S0=NO_OUTPUT;S1=NO_OUTPUT
src/holyc-lib/builtins.HC	0	1	1	COMPILE_FAIL	COMPILE_FAIL			N/A	STAGE0_FAIL_STAGE1_FAIL	S0=NO_OUTPUT;S1=NO_OUTPUT
src/holyc-lib/coroutines.HC	0	1	1	COMPILE_FAIL	COMPILE_FAIL			N/A	STAGE0_FAIL_STAGE1_FAIL	S0=NO_OUTPUT;S1=NO_OUTPUT
src/holyc-lib/csv.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/4_csv.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/4_csv.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/date.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/5_date.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/5_date.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/dir.HC	1	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/6_dir.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/6_dir.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/except.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/7_except.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/7_except.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/fzf.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/8_fzf.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/8_fzf.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/hashtable.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/9_hashtable.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/9_hashtable.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/io.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/10_io.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/10_io.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/json.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/11_json.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/11_json.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/list.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/12_list.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/12_list.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/math.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/13_math.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/13_math.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/memory.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/14_memory.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/14_memory.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/net.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/15_net.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/15_net.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/set.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/16_set.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/16_set.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/sqllite.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/17_sqllite.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/17_sqllite.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/stat.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/18_stat.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/18_stat.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/strings.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/19_strings.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/19_strings.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/system.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/20_system.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/20_system.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/threads.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/21_threads.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/21_threads.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/tooling.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/22_tooling.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/22_tooling.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/holyc-lib/vector.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/23_vector.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/23_vector.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/01_pointer_simple.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/24_01_pointer_simple.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/24_01_pointer_simple.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/02_pointer_simple.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/25_02_pointer_simple.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/25_02_pointer_simple.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/03_malloc_array.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/26_03_malloc_array.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/26_03_malloc_array.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/04_ptr_ptr.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/27_04_ptr_ptr.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/27_04_ptr_ptr.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/05_int_ptr.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/28_05_int_ptr.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/28_05_int_ptr.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/06_class_defs.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/29_06_class_defs.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/29_06_class_defs.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/07_recursive_classdef.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/30_07_recursive_classdef.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/30_07_recursive_classdef.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/08_break_continue.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/31_08_break_continue.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/31_08_break_continue.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/09_default_function_parameters.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/32_09_default_function_parameters.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/32_09_default_function_parameters.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/10_qsort.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/33_10_qsort.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/33_10_qsort.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/11_assignment.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/34_11_assignment.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/34_11_assignment.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/12_function_pointer.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/35_12_function_pointer.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/35_12_function_pointer.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/13_threads.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/36_13_threads.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/36_13_threads.o	YES	STAGE0_PASS_STAGE1_PASS	YES
src/tests/14_maths.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-A/37_14_maths.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b02-corpus-B/37_14_maths.o	YES	STAGE0_PASS_STAGE1_PASS	YES
