path	has_dollar_identifier	stage1_rc	stage2_rc	stage1_class	stage2_class	stage1_artifact	stage2_artifact	byte_equal	verdict	reason
src/holyc-lib/all.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/0_all.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/0_all.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/bitvec.HC	0	1	1	COMPILE_FAIL	COMPILE_FAIL			N/A	STAGE1_FAIL_STAGE2_FAIL	S1=NO_OUTPUT;S2=NO_OUTPUT
src/holyc-lib/builtins.HC	0	1	1	COMPILE_FAIL	COMPILE_FAIL			N/A	STAGE1_FAIL_STAGE2_FAIL	S1=NO_OUTPUT;S2=NO_OUTPUT
src/holyc-lib/coroutines.HC	0	1	1	COMPILE_FAIL	COMPILE_FAIL			N/A	STAGE1_FAIL_STAGE2_FAIL	S1=NO_OUTPUT;S2=NO_OUTPUT
src/holyc-lib/csv.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/4_csv.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/4_csv.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/date.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/5_date.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/5_date.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/dir.HC	1	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/6_dir.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/6_dir.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/except.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/7_except.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/7_except.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/fzf.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/8_fzf.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/8_fzf.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/hashtable.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/9_hashtable.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/9_hashtable.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/io.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/10_io.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/10_io.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/json.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/11_json.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/11_json.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/list.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/12_list.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/12_list.o	YES	STAGE1_PASS_STAGE2_PASS	YES
src/holyc-lib/math.HC	0	0	0	PASS	PASS	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-A2/13_math.o	/Volumes/UserData/Users/chistyakov/Projects/SPbNIX/polyc/build/b03-corpus-B2/13_math.o	YES	STAGE1_PASS_STAGE2_PASS	YES
