fixture	tu	object	object_sha256	symbol	binding	visibility	expected	status
S02	tuA	tuA.o	155b34f38893de399e04c45b3e6a70f53936cad0a04f6ad43f831f68bb524dd7	_Foo	non-external	private	private	PASS
S02	tuB	tuB.o	f3cb79e85b451b7bfd95f45bed9b0cb2f9307f1f3b4c599ba65d74c8dfe2173a	_Foo	non-external	private	private	PASS
S02	tuA	tuA.o	155b34f38893de399e04c45b3e6a70f53936cad0a04f6ad43f831f68bb524dd7	_A	external	global	external	PASS
S02	tuB	tuB.o	f3cb79e85b451b7bfd95f45bed9b0cb2f9307f1f3b4c599ba65d74c8dfe2173a	_B	external	global	external	PASS
S02	combined	combined.o	3cdcdc430940ae3aab4540dd996af96fcfa7a4f731923f3f9af2517eec290bbf	_Foo	non-external	private	private	PASS
S02	combined	combined.o	3cdcdc430940ae3aab4540dd996af96fcfa7a4f731923f3f9af2517eec290bbf	_Foo	non-external	private	private	PASS
S02	combined	combined.o	3cdcdc430940ae3aab4540dd996af96fcfa7a4f731923f3f9af2517eec290bbf	_A	external	global	external	PASS
S02	combined	combined.o	3cdcdc430940ae3aab4540dd996af96fcfa7a4f731923f3f9af2517eec290bbf	_B	external	global	external	PASS
S02	link	combined.o	3cdcdc430940ae3aab4540dd996af96fcfa7a4f731923f3f9af2517eec290bbf	ld_rc	0	n/a	rc=0	PASS
S02	run	s02_prog	n/a	rc	98	n/a	rc=98 (1122%256)	PASS
S04	tuA	s04A.o	155b34f38893de399e04c45b3e6a70f53936cad0a04f6ad43f831f68bb524dd7	_Foo	non-external	private	private	PASS
S04	tuB	s04B.o	98d3ae2890dc70a3badc381b66ec8ff104ce5c04758b852865565d2ea7b941d4	_Foo	external	global	external	PASS
S04	tuA	s04A.o	155b34f38893de399e04c45b3e6a70f53936cad0a04f6ad43f831f68bb524dd7	_A	external	global	external	PASS
S04	tuB	s04B.o	98d3ae2890dc70a3badc381b66ec8ff104ce5c04758b852865565d2ea7b941d4	_B	external	global	external	PASS
S04	link	s04combined.o	cc linked without error	link_rc	0	n/a	rc=0	PASS
S04	run	s04_prog	n/a	rc	33	n/a	rc=33 (= 11+22)	PASS
S05	s05.o	n/a	compile_error	symbol_already_defined	symbol _Foo is already defined	rejected	rejected	PASS
