ac_id	description	mandatory	status	evidence_path
AC01	C0 clean entry	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c0/c0-entry-identity.txt
AC02	correct predecessor identity	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c0/c0-entry-identity.txt
AC03	prospective baseline frozen	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c1/c1-patch-hygiene-baseline.txt
AC04	predecessor HALT acknowledged	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c0/c0-entry-identity.txt
AC05	no historical artifact mutation	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-f14-conservation.txt
AC06	current oracle regression	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c1/c1-current-oracle-regression.txt
AC07	PolyC tooling conservation	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c1/c1-current-oracle-regression.txt
AC08	manifest mutation explicitly authorized	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c1/c1-scope-freeze.txt
AC09	self row committed before C3	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c2/c2-self-row-red.txt
AC10	no HANDOFF before C4	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c2/c2-self-row-red.txt
AC11	self pair fails at C2	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c2/c2-self-row-red.txt
AC12	self pair fails at C3	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-self-row-load-bearing.txt
AC13	only self pair fails	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-self-row-load-bearing.txt
AC14	checker frozen	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-freeze-verification.txt
AC15	manifest frozen	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-freeze-verification.txt
AC16	ACT body frozen	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-freeze-verification.txt
AC17	test implementation frozen	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-freeze-verification.txt
AC18	real C3 commit	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-entry-identity.txt
AC19	C3 enters from clean committed C2	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-entry-identity.txt
AC20	C3 12-case regression	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-12case-regression.txt
AC21	C3 patch hygiene	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-patch-hygiene.txt
AC22	C4 adds HANDOFF only	YES	PASS	docs/factory/HANDOFF-ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05.md
AC23	C4 self pair passes	YES	PASS	docs/factory/HANDOFF-ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05.md
AC24	final oracle green	YES	PASS	docs/factory/HANDOFF-ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05.md
AC25	HANDOFF owns verdict	YES	PASS	docs/factory/HANDOFF-ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05.md
AC26	C4 patch hygiene	YES	PASS	docs/factory/HANDOFF-ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05.md
AC27	no post-C4 cleanup	YES	PASS	docs/factory/HANDOFF-ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05.md
AC28	F-NO-PYTHON	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c1/c1-scope-freeze.txt
AC29	F-POLYC-TOOLS	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c1/c1-scope-freeze.txt
AC30	append-only	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-append-only.txt
AC31	worktree clean	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-entry-identity.txt
AC32	Factory gates	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01-CORRECTION05/c3/c3-12case-regression.txt
