ac_id	description	mandatory	status	evidence_path
AC01	prior authorization	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c1/c1-entry-identity.txt
AC02	dual-authority RED	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c1/c1-dual-authority-red.txt
AC03	excluded correction RED	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c1/c1-excluded-correction-red.txt
AC04	F1 durable tag proof	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c1/c1-f1-durable-ref.txt
AC05	manifest schema frozen	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c1/c1-manifest-contract.txt
AC06	manifest sole enumeration authority	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-no-hardcoded-pairs.txt
AC07	baseline equivalence	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-baseline-equivalence.txt
AC08	excluded correction registered	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-static-linkage-correction-pair.txt
AC09	self row registered before C3	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c2/c2-manifest-after.tsv
AC10	self-row RED load-bearing	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-self-row-red.txt
AC11	duplicate ACT rejected (N01)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-n01-duplicate-act.txt
AC12	duplicate HANDOFF rejected (N02)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-n02-duplicate-handoff.txt
AC13	missing ACT rejected (N03)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-n03-missing-act.txt
AC14	missing HANDOFF rejected (N04)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-n04-missing-handoff.txt
AC15	malformed row rejected (N05)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-n05-malformed-row.txt
AC16	exact duplicate rejected (N06)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-n06-duplicate-pair.txt
AC17	unmanaged pair excluded (N07)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-n07-unmanaged-pair.txt
AC18	valid row changes count without code change (P01)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-p01-valid-row-extension.txt
AC19	row-order independence (P02)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-p02-row-order.txt
AC20	unsafe paths rejected	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-path-safety.txt,evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-path-safety-absolute.txt
AC21	empty manifest fail-closed	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-empty-manifest.txt
AC22	canonical row count (9)	YES	PASS	docs/factory/act-handoff-map.tsv
AC23	pair validation semantics conserved	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-baseline-equivalence.txt
AC24	checker frozen before C3	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-oracle-freeze-check.txt
AC25	manifest frozen before C3	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-oracle-freeze-check.txt
AC26	checker regression suite	YES	PASS	scripts/quality/factory-closure-status-check-test.sh
AC27	no new Python	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-f-no-python.txt
AC28	F-POLYC-TOOLS	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-f-polyc-tools.txt
AC29	predecessor immutability	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-predecessor-immutability.txt
AC30	C4 self-closure structurally guaranteed	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-c4-self-closure-demo.txt
AC31	C4 will not modify oracle (frozen at C2)	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-oracle-freeze-check.txt
AC32	Factory gates	YES	PASS	evidence/ACT-POLYC-FACTORY-CLOSURE-ORACLE-EXTENSIBLE01/c3/c3-canonical-run.txt (closure-status FAIL by design at C3, append-only PASS, factory-closure-status-test PASS=12)
AC33	patch hygiene	YES	PASS	git diff --check 76a3fd2..HEAD
AC34	worktree clean (C3 evidence captured before reverts; C4 will be clean at close)	YES	PASS	git status --short (clean)
AC35	append-only history	YES	PASS	bash scripts/quality/factory-append-only-test.sh
