# ACT-POLYC-SELFHOST-LEXER-SURFACE-RECON01 — C1 — lexer call graph
# Directed caller -> callee edges within src/lexer.c
# Format: caller<TAB>callee<TAB>call_site_line
caller	callee	call_site_line
lexInit	listNew	304
lexInit	listNew	305
lexInit	mapNew	306
lexInit	setNew	307
lexerRelease	listRelease	331
lexerRelease	listRelease	331
lexemeMemoryInit	arenaInit	74
lexemeMemoryRelease	arenaClear	81
lexemeMemoryStats	arenaPrintStats	87
lexerAllocLexeme	arenaAlloc	91
lexerAllocateBuffer	arenaAlloc	95
lexerReAllocBuffer	lexerAllocateBuffer	100
lexerReAllocBuffer	memcpy	101
lexemeNew	lexerAllocLexeme	193
lexemeSentinal	lexerAllocLexeme	203
lexemeAssignOp	-	-
lexemeTokNew	lexerAllocLexeme	226
lexemeCopy	lexerAllocLexeme	237
lexemeCopy	memcpy	238
lexemeNewOp	lexemeNew	243
lexemeNewOp	lexemeAssignOp	244
lexRaise	mprintVa	258
lexRaise	aoStrNew	261
lexRaise	aoStrCatColoured	262
lexRaise	cctrlCreateErrorLineAt	269
lexRaise	aoStrRelease	271
lexRaise	cctrlMakeDiag	276
lexRaise	cctrlDiagPush	281
lexRaise	cctrlTerminate	282
lexRaise	fprintf	284
lexRaise	vfprintf	286
lexRaise	exit	289
lexNextChar	listPop	629
lexRewindChar	-	-
lexPeekMatch	-	-
lexPeek	-	-
lexReadfile	open	665
lexReadfile	lseek	669
lexReadfile	lseek	670
lexReadfile	malloc	673
lexReadfile	read	676
lexReadfile	close	686
lexReadfile	loggerPanic	666
lexReadfile	loggerPanic	681
lexPushFile	lexReadfile	704
lexPushFile	malloc	702
lexPushFile	aoStrNew	705
lexPushFile	setAdd	716
lexPushFile	listAppend	723
lexPushString	malloc	738
lexPushString	aoStrNew	739
lexPushString	aoStrDupRaw	748
lexPushString	listAppend	754
lexSkipCodeComment	-	-
countNumberLen	loggerWarning	806
countNumberLen	loggerWarning	816
countNumberLen	loggerWarning	848
countNumberLen	loggerWarning	860
countNumberLen	loggerWarning	867
lexIdentifier	BootstrapScanIdent	928
lexIdentifier	lexRewindChar	936
lexIdentifier	lexNextChar	964
lexString	lexerAllocateBuffer	983
lexString	lexNextChar	987
lexString	lexerReAllocBuffer	995
lexString	lexRaise	1036
lexString	aoStrPrintf	-
lexString	toupper	1026
lexString	toupper	1027
lexCharConst	lexNextChar	1092
lexCharConst	lexPeek	1127
lexCharConst	lexNextChar	1131
lexCharConst	lexRaise	1151
lexCharConst	lexRaise	1155
lexCharConst	toupper	1127
lexCharConst	toupper	1131
lexNumeric	countNumberLen	1172
lexNumeric	strtold	1180
lexNumeric	strtoull	1183
lexNumeric	strtoll	1187
lexPreProcDirective	lex	1194
lexPreProcDirective	memcmp	1200
lexPreProcDirective	mapGetLen	1210
lexPreProcDirective	lexRaise	1212
lexClassifyOperator	BootstrapClassifyOperator	1259
lexClassifyOperator	lexPeekMatch	1274
lexClassifyOperator	lexNextChar	1275
lexClassifyOperator	lexNextChar	1289
lexClassifyOperator	lexPeekMatch	1283
lexClassifyOperator	lexNextChar	1308
lexCore	lexNextChar	1446
lexCore	lexemeAssignOp	1467
lexCore	lexemeAssignOp	1475
lexCore	lexNumeric	1494
lexCore	lexRaise	1495
lexCore	lexString	1513
lexCore	lexCharConst	1522
lexCore	lexSkipCodeComment	1535
lexCore	lexClassifyOperator	1546
lexCore	lexemeAssignOp	1548
lexCore	lexemeAssignOp	1552
lexCore	lexClassifyOperator	1587
lexCore	lexClassifyOperator	1637
lexCore	lexClassifyOperator	1654
lexCore	lexPreProcDirective	1661
lexCore	lexIdentifier	1674
lexCore	lexRaise	1675
lexCore	lexRaise	1694
lexCore	mapGetLen	1683
lexCore	lexRaise	1694
lex	lexCore	1699
lexInclude	lex	1710
lexInclude	lex	1712
lexInclude	aoStrNew	1713
lexInclude	aoStrNew	1718
lexInclude	aoStrCatPrintf	1715
lexInclude	aoStrCatPrintf	1719
lexInclude	aoStrRelease	1721
lexInclude	aoStrDupRaw	1723
lexInclude	strrchr	1732
lexInclude	aoStrPrintf	1736
lexInclude	setHas	1748
lexInclude	lexPushFile	1749
lexInclude	aoStrRelease	1751
lexInclude	lexRaise	1743
listContainsAoStr	-	-
lexLink	lex	1774
lexLink	lexRaise	1775
lexLink	lex	1780
lexLink	lexRaise	1781
lexLink	tokenPunctIs	1777
lexLink	tokenPunctIs	1783
lexLink	aoStrNew	1778
lexLink	aoStrDupRaw	1787
lexLink	aoStrCatPrintf	1784
lexLink	vecPush	-
lexLink	lexRaise	1790
lexDefine	lex	-
lexDefine	lexemeNew	-
lexDefine	malloc	2048
lexDefine	free	2059
lexDefine	parseExpr	2058
lexDefine	evalFloatExpr	2066
lexDefine	evalIntConstExpr	2072
lexDefine	vecPush	2018
lexDefine	vecRelease	2078
lexDefine	roundUpToNextPowerOf2	2047
lexDefine	lexemeSentinal	2052
lexDefine	cctrlInitMacroProcessor	2040
lexDefine	lexRaise	2034
lexDefine	tokenPunctIs	2017
lexUndef	mapRemove	1942
lexUndef	lexRaise	1944
lexPreProcIf	lex	-
lexPreProcIf	malloc	2048
lexPreProcIf	free	2059
lexPreProcIf	parseExpr	2058
lexPreProcIf	evalFloatExpr	2066
lexPreProcIf	evalIntConstExpr	2072
lexPreProcIf	cctrlInitMacroProcessor	2040
lexPreProcIf	lexRaise	2034
lexPreProcIf	vecRelease	2078
lexPreProcIf	roundUpToNextPowerOf2	2047
lexPreProcIf	lexemeSentinal	2052
lexPreProcBoolean	mapGetLen	2109
lexPreProcBoolean	mapGetLen	2128
lexPreProcBoolean	mapGetLen	2141
lexPreProcBoolean	lexPreProcIf	2096
lexPreProcBoolean	lexPreProcIf	2153
lexPreProcBoolean	lex	-
lexPreProcBoolean	lexRaise	2285
lexSetAsmFlags	-	-
lexUnSetAsmFlags	-	-
lexToken	lexemeCopy	2211
lexToken	lexUnSetAsmFlags	2213
lexToken	lexPreProcBoolean	2270
lexToken	lex	-
lexToken	lexRaise	2285
lexToken	lexemeCopy	-
lexemeFree	-	-
lexReleaseLexFile	free	2313
lexReleaseAllFiles	listRelease	2317
lexReleaseAllFiles	lexReleaseLexFile	2318
lexerReportLine	aoStrAlloc	2322
lexerReportLine	aoStrMove	-
lexerReportLine	aoStrPutChar	2351
lexemeEq	lexemePunctToString	-
lexemeEq	loggerPanic	2373
