function	line_start	line_end	semantic_loc	primary_class	calls	called_by	lexer_fields_read	lexer_fields_written	containers_read	containers_written	allocates	frees	diagnostic_edges	file_stack_edges	preprocessor_edges	token_kinds_produced	already_selfhosted	region_candidate
vecLexemeToString	27	30	4	SUPPORT	lexemeToString	(callers outside lexer.c)	-	-	-	-	-	-	0	0	0	0	NO	no
vecLexemeRelease	32	35	4	SUPPORT	-	-	-	-	-	-	-	-	0	0	0	0	NO	no
mapLexerTypeToString	48	51	4	SUPPORT	-	lexPreProcDirective	-	-	-	-	-	-	0	0	0	0	NO	no
lexemeMemoryInit	71	76	6	SUPPORT	arenaInit	-	-	-	-	-	-	-	0	0	0	0	NO	no
lexemeMemoryRelease	78	83	6	SUPPORT	arenaClear	-	-	-	-	-	-	-	0	0	0	0	NO	no
lexemeMemoryStats	85	88	4	SUPPORT	arenaPrintStats	-	-	-	-	-	-	-	0	0	0	0	NO	no
lexerAllocLexeme	90	92	3	MEMORY_MANAGEMENT	arenaAlloc	lexemeNew,lexemeSentinal,lexemeTokNew,lexemeCopy,lexemeNewOp,lexemeAssignOp	-	-	-	-	Arena*-allocated Lexeme*	-	0	0	0	0	NO	no
lexerAllocateBuffer	94	96	3	MEMORY_MANAGEMENT	arenaAlloc	lexString,lexerReAllocBuffer	-	-	-	-	Arena*-allocated char*	-	0	0	0	0	NO	no
lexerReAllocBuffer	98	103	6	MEMORY_MANAGEMENT	lexerAllocateBuffer,memcpy	lexString	-	-	-	-	-	-	0	0	0	0	NO	no
lexemeNew	192	200	9	MEMORY_MANAGEMENT	lexerAllocLexeme	lexInit,lexCore,lexString,lexToken,lexDefine,etc	-	-	-	-	Arena*-allocated Lexeme*	-	0	0	0	0	NO	no
lexemeSentinal	202	210	9	MEMORY_MANAGEMENT	lexerAllocLexeme	lexPreProcIf	-	-	-	-	Arena*-allocated Lexeme*	-	0	0	0	0	NO	no
lexemeAssignOp	212	223	12	TOKEN_CONSTRUCTION	-	lexCore,lexToken	le->tk_type,le->line,le->col,le->start,le->len,le->i64	le->tk_type,le->line,le->col,le->start,le->len,le->i64	-	-	-	-	0	0	0	TK_PUNCT	NO	no
lexemeTokNew	225	234	10	TOKEN_CONSTRUCTION	lexerAllocLexeme	(callers outside lexer.c)	copy->tk_type,copy->start,copy->len,copy->line,copy->col,copy->i64	-	-	-	-	Arena*-allocated Lexeme*	-	0	0	0	TK_PUNCT	NO	no
lexemeCopy	236	240	5	TOKEN_CONSTRUCTION	lexerAllocLexeme,memcpy	lexToken,lexPreProcIf	copy,le	-	-	-	Arena*-allocated Lexeme*	-	0	0	0	0	NO	no
lexemeNewOp	242	246	5	TOKEN_CONSTRUCTION	lexemeNew,lexemeAssignOp	(callers outside lexer.c)	-	-	-	-	-	-	0	0	0	TK_PUNCT	NO	no
lexRaise	254	290	37	DIAGNOSTIC	mprintVa,aoStrNew,cctrlCreateErrorLineAt,cctrlMakeDiag,cctrlDiagPush,cctrlTerminate,loggerPanic	lexCore,lexNumeric,lexCharConst,lexString,lexInclude,lexLink,lexPreProcBoolean	cc,flags	-	-	-	-	-	1	0	0	-	NO	no
lexInit	292	328	37	PUBLIC_LEX_INIT	arenaAlloc,listNew,mapNew,setNew	lexer users (main, etc.)	-	ptr,line_start_ptr,cur_ch,lineno,cur_f64,cur_i64,cur_str,cur_strlen,cur_file,ishex,flags,files,all_source,symbol_table,seen_files,collecting	-	listNew(2x),mapNew,setNew	-	0	0	0	-	NO	no
lexerRelease	330	336	7	PUBLIC_LEX_INIT	listRelease	lexer users	-	files,all_source	-	listRelease(2x)	-	-	0	0	0	-	NO	no
lexSetBuiltinRoot	338	340	3	FILE_STACK	-	lexLink	builtin_root	-	-	-	-	-	0	0	0	-	NO	no
tokenPunctIs	343	345	3	SUPPORT	-	(callers)	-	-	-	-	-	-	0	0	0	0	NO	no
tokenIdentIs	348	352	5	SUPPORT	-	(callers)	-	-	-	-	-	-	0	0	0	0	NO	no
lexemeTypeToString	354	367	14	SUPPORT	-	lexemeToString,lexemeToAoStr	-	-	-	-	-	-	0	0	0	0	NO	no
lexemePunctToEncodedString	369	440	72	RENDERING	snprintf	lexemePunctToStringWithFlags	-	-	-	-	-	-	0	0	0	0	NO	no
lexemePunctToString	442	483	42	RENDERING	snprintf	lexemePunctToStringWithFlags,lexemeToAoStr,lexemeToString,lexemeEq	-	-	-	-	-	-	0	0	0	0	NO	no
lexemePunctToStringWithFlags	485	488	4	RENDERING	lexemePunctToEncodedString,lexemePunctToString	(callers)	-	-	-	-	-	-	0	0	0	0	NO	no
lexemeToAoStr	490	605	116	RENDERING	lexemePunctToString,aoStrNew,aoStrCatPrintf	(callers)	-	-	-	-	-	-	0	0	0	0	NO	no
lexemeToString	607	610	4	RENDERING	lexemePunctToString,lexemeTypeToString	lexemePrint,lexemeEq	-	-	-	-	-	-	0	0	0	0	NO	no
lexemePrint	612	618	7	RENDERING	lexemeToString	(callers)	-	-	-	-	-	-	0	0	0	0	NO	no
lexNextChar	620	647	28	CORE_CURSOR	-	lexIdentifier,lexCore,lexString,lexCharConst,lexNumeric	ptr,files,cur_file,cur_ch,lineno,line_start_ptr	start,ptr,cur_file,cur_ch,lineno,line_start_ptr,files(pop)	listPop	-	-	-	1 (EOF crosses files)	0	0	char	NO	cursor
lexRewindChar	649	651	3	CORE_CURSOR	-	lexCore,lexIdentifier	ptr	ptr	-	-	-	-	0	0	0	0	NO	cursor
lexPeekMatch	654	656	3	CORE_CURSOR	-	lexCore,lexClassifyOperator	ptr	-	-	-	-	-	0	0	0	0	NO	cursor
lexPeek	658	660	3	CORE_CURSOR	-	lexCharConst	ptr	-	-	-	-	-	0	0	0	0	NO	cursor
lexReadfile	663	697	35	FILE_STACK	open,lseek,read,close,malloc,loggerPanic	lexPushFile	-	-	-	-	malloc-allocated char*	-	0	0	0	-	NO	no
lexPushFile	699	730	32	FILE_STACK	lexReadfile,malloc,aoStrNew,setAdd,listAppend	lexInclude,lexPreProcDirective?	seen_files	ptr,cur_file,lineno,line_start_ptr,start,files	push	files,cur_file->ptr/lineno/line_start_ptr	-	-	0	1	0	-	NO	no
