# ACT-POLYC-SELFHOST-LEXER-SURFACE-RECON01 — C1 — lexer state graph
# Format: function<TAB>field<TAB>access (R or W or RW)
function	field	access
lexInit	ptr	W
lexInit	line_start_ptr	W
lexInit	cur_ch	W
lexInit	lineno	W
lexInit	cur_f64	W
lexInit	cur_i64	W
lexInit	cur_str	W
lexInit	cur_strlen	W
lexInit	cur_file	W
lexInit	ishex	W
lexInit	flags	W
lexInit	files	W
lexInit	all_source	W
lexInit	symbol_table	W
lexInit	seen_files	W
lexInit	collecting	W
lexerRelease	files	RW
lexerRelease	all_source	RW
lexNextChar	start	W
lexNextChar	ptr	W
lexNextChar	cur_ch	W
lexNextChar	files	R
lexNextChar	cur_file	RW
lexNextChar	lineno	W
lexNextChar	line_start_ptr	W
lexRewindChar	ptr	W
lexPeekMatch	ptr	R
lexPeek	ptr	R
lexPushFile	ptr	W
lexPushFile	lineno	W
lexPushFile	line_start_ptr	W
lexPushFile	start	W
lexPushFile	cur_file	W
lexPushFile	files	W
lexPushFile	seen_files	W
lexPushString	ptr	W
lexPushString	lineno	W
lexPushString	line_start_ptr	W
lexPushString	start	W
lexPushString	cur_file	W
lexPushString	files	W
lexSkipCodeComment	ptr	RW
lexSkipCodeComment	lineno	W
lexSkipCodeComment	line_start_ptr	W
lexIdentifier	start	R
lexIdentifier	ptr	W
lexIdentifier	cur_strlen	W
lexString	ptr	RW
lexString	flags	R
lexString	lineno	W
lexString	line_start_ptr	W
lexString	cur_str	W
lexString	cur_strlen	W
lexCharConst	ptr	RW
lexCharConst	flags	R
lexCharConst	cur_i64	W
lexCharConst	cur_strlen	W
lexNumeric	ptr	R
lexNumeric	cur_strlen	RW
lexNumeric	cur_i64	W
lexNumeric	cur_f64	W
lexNumeric	ishex	W
lexPreProcDirective	lineno	R
lexPreProcDirective	symbol_table	R
lexClassifyOperator	start	R
lexClassifyOperator	ptr	W
lexClassifyOperator	flags	R
lexCore	ptr	RW
lexCore	start	RW
lexCore	flags	R
lexCore	line_start_ptr	RW
lexCore	lineno	RW
lexCore	tok_start_line	W
lexCore	tok_start_col	W
lexCore	cur_ch	R
lexCore	files	R
lexCore	cur_file	R
lexCore	symbol_table	R
lexCore	ishex	RW
lexCore	cur_strlen	W
lexCore	cur_i64	W
lexCore	cur_f64	W
lexCore	cur_str	W
lex	tok_start_line	W
lex	tok_start_col	W
lexInclude	cur_file	R
lexInclude	cur_str	R
lexInclude	files	R
lexInclude	seen_files	R
lexInclude	ptr	R
lexLink	cc	R
lexLink	flags	R
lexDefine	macro_defs	RW
lexDefine	lineno	W
lexDefine	cc	R
lexDefine	flags	RW
lexUndef	macro_defs	RW
lexPreProcIf	macro_defs	R
lexPreProcIf	lineno	W
lexPreProcIf	cc	R
lexPreProcIf	flags	RW
lexPreProcIf	collecting	RW
lexPreProcIf	skip_else	RW
lexPreProcBoolean	macro_defs	R
lexPreProcBoolean	collecting	RW
lexPreProcBoolean	skip_else	RW
lexPreProcBoolean	flags	R
lexPreProcBoolean	cc	R
lexSetAsmFlags	flags	W
lexUnSetAsmFlags	flags	W
lexToken	flags	RW
lexToken	lineno	RW
lexToken	cc	R
lexToken	collecting	R
lexToken	skip_else	W
lexToken	macro_defs	R
lexToken	tok_start_line	R
lexReleaseAllFiles	all_source	RW
lexerReportLine	cur_file	R
