# ACT-POLYC-SELFHOST-LEXER-SURFACE-RECON01 — C2 — ABI sketches
# Format: region_id<TAB>inputs<TAB>outputs<TAB>ownership<TAB>error_model<TAB>cursor_postcondition<TAB>eof_postcondition<TAB>max_scalar_slots
R-A	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 isfloat; I64 ishex; I64 err_status	host-owned src (read-only); PolyC region does not own Lexer*; no allocation	returns 1/0 + status enum (lexRaise stays in C wrapper)	new_cursor = cursor + end_cursor; src[cursor+end_cursor] is the terminator (digit-or-hex-or-dot-or-x/e/.); no one-past-end	cursor stays at NUL if EOF before any digit (returns 0)	4 in / 4 out = 8 logical slots
R-B	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 kind (TK_I64/TK_F64); I64 i64_value; I64 f64_value_bits; I64 ishex	host-owned src; no Lexer* ownership; no allocation	returns 1/0 + status enum	new_cursor = cursor + end_cursor; l->ptr after wrapper becomes src + new_cursor	EOF: cursor at NUL; status=0	4 in / 5 out = 9 logical slots
R-C	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 char_const_i64; I64 len_chars; I64 status (overflow/unterminated)	host-owned src; no allocation	returns 1 on success, 2 on overflow, 3 on unterminated; lexRaise stays in C wrapper	new_cursor = cursor + 1 + N_chars + 1 (open + body + close quote)	EOF: cursor at NUL with status=3	4 in / 4 out = 8 logical slots
R-D	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 kind (TK_I64/TK_F64/0=invalid); I64 i64_value; I64 f64_value_bits; I64 ishex; I64 err_status	host-owned src; no Lexer*; no allocation	returns 1 on success (TK_*), 0 on no-digit, 2 on malformed; lexRaise stays in C wrapper	new_cursor = cursor + end_cursor	EOF: cursor at NUL with err_status=0 (no-digit) or 2 (malformed)	4 in / 6 out = 10 logical slots
R-E	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 kind (TK_I64/TK_F64/TK_CHAR_CONST); I64 i64_value; I64 f64_value_bits; I64 ishex; I64 err_status	host-owned src; no Lexer*; no allocation	returns 1 + kind; lexRaise stays in C wrapper	new_cursor = cursor + end_cursor	EOF: cursor at NUL with err_status=0 (or 3 for unterminated char)	4 in / 6 out = 10 logical slots
R-F	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 kind (TK_I64/TK_F64/TK_CHAR_CONST/0); I64 i64_value; I64 f64_value_bits; I64 ishex; I64 err_status	host-owned src; no Lexer*; no allocation	returns 1 + kind; 0 on no-input; 2 on numeric-malformed; 3 on unterminated char; lexRaise stays in C wrapper	new_cursor = cursor + end_cursor	EOF: cursor at NUL with err_status=0	4 in / 7 out = 11 logical slots
R-G	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 eof_in_comment (1 if walked off EOF)	host-owned src; no Lexer*; no allocation	returns 1 (OK) or 2 (truncated; C wrapper decides)	new_cursor = cursor + end_cursor; wrapper advances l->ptr; wrapper updates l->lineno / l->line_start_ptr based on internal newlines	EOF: cursor at NUL; eof_in_comment=1	4 in / 2 out = 6 logical slots
R-H	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 kind (TK_COMMENT / WS_TOK / NL_TOK / 0); I64 eof_in_comment	host-owned src; no Lexer*; no allocation	returns 1 on consume (with kind), 0 on no-trivia, 2 on truncated comment	new_cursor = cursor + end_cursor; wrapper advances l->ptr, l->lineno, l->line_start_ptr	EOF: cursor at NUL with kind=0	4 in / 3 out = 7 logical slots
R-I	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 kind (WS_TOK/NL_TOK/0)	host-owned src; no Lexer*; no allocation	returns 1 on trivia (with kind), 0 on no-trivia	new_cursor = cursor + end_cursor; wrapper advances l->ptr, l->lineno, l->line_start_ptr	EOF: cursor at NUL with kind=0	4 in / 2 out = 6 logical slots
R-J	(EXCLUDED by E5)	N/A	N/A	N/A	N/A	N/A	N/A
R-K	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 kind (TK_CHAR_CONST/0); I64 char_const_i64; I64 isfloat; I64 ishex; I64 err_status	host-owned src; no Lexer*; no allocation	returns 1 on TK_CHAR_CONST (kind set), 0 on no-digit-char; 2 on numeric-malformed; 3 on unterminated char; lexRaise stays in C wrapper	new_cursor = cursor + end_cursor	EOF: cursor at NUL	4 in / 6 out = 10 logical slots
R-L	U8*src; I64 src_len; I64 cursor; I64 flags	I64 end_cursor; I64 kind (TK_I64/TK_F64/TK_COMMENT/0); I64 i64_value; I64 f64_value_bits; I64 ishex; I64 eof_in_comment	host-owned src; no Lexer*; no allocation	returns 1 with kind	new_cursor = cursor + end_cursor	EOF: cursor at NUL	4 in / 7 out = 11 logical slots
