region_id	member_functions	member_classes	semantic_loc	token_kinds	fields_read	fields_written	pointer_fields_written	scalar_fields_written	internal_coupling	external_boundary_cost	container_edges	preprocessor_edges	file_stack_edges	diagnostic_edges	abi_input_slots	abi_output_slots	direct_oracle_possible	production_seam_possible	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	eligible	ineligible_reason	ownership_gain	cohesion_gain	boundary_amortization	risk_score	final_score	rank
R-A	countNumberLen	CORE_NUMERIC_EXTENT	78	0	ptr	(isfloat,ishex,err out)	0	3	0	48	0	0	0	1	4	4	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	138	0	0	176	-38	9
R-B	lexNumeric	CORE_NUMERIC_VALUE	27	2	ptr,cur_strlen	cur_strlen,ptr,cur_f64,cur_i64,ishex	1	3	0	0	0	0	0	0	4	5	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	135	0	0	184	-49	10
R-C	lexCharConst	HOST_C_CORE_CHAR_LITERAL	78	1	flags,lineno,line_start_ptr,ptr	cur_i64,cur_strlen,lineno,ptr	1	2	0	48	0	0	0	1	4	4	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	146	0	0	216	-70	11
R-D	countNumberLen+lexNumeric	CORE_NUMERIC_EXTENT+CORE_NUMERIC_VALUE	105	2	ptr,cur_strlen	cur_strlen,ptr,cur_f64,cur_i64,ishex	1	5	34	48	0	0	0	1	4	6	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	257	34	232	248	275	3
R-E	lexNumeric+lexCharConst	CORE_NUMERIC_VALUE+HOST_C_CORE_CHAR_LITERAL	105	3	flags,lineno,line_start_ptr,ptr	cur_i64,cur_f64,cur_strlen,lineno,ptr,ishex	1	4	36	48	0	0	0	1	4	6	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	265	36	232	248	285	2
R-F	countNumberLen+lexNumeric+lexCharConst	CORE_NUMERIC_EXTENT+CORE_NUMERIC_VALUE+HOST_C_CORE_CHAR_LITERAL	183	4	flags,lineno,line_start_ptr,ptr	cur_i64,cur_f64,cur_strlen,lineno,ptr,ishex	1	6	96	48	0	0	0	2	4	7	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	411	96	432	312	627	1
R-G	lexSkipCodeComment	CORE_COMMENT	31	1	flags,lineno,line_start_ptr,ptr	ptr,lineno,line_start_ptr	1	1	0	0	0	0	0	0	4	2	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	83	0	0	136	-53	7
R-H	lexSkipCodeComment+whitespace_cases	CORE_COMMENT+CORE_WHITESPACE	46	2	flags,lineno,line_start_ptr,ptr	ptr,lineno,line_start_ptr	1	2	18	0	0	0	0	0	4	3	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	150	18	184	152	200	5
R-I	whitespace_cases_in_lexCore	CORE_WHITESPACE	15	2	flags,lineno,line_start_ptr,ptr	lineno,line_start_ptr,ptr	1	1	0	0	0	0	0	0	4	2	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	91	0	0	136	-45	8
R-J	lexString	HOST_C_CORE_STRING	104	1	flags,lineno,line_start_ptr,ptr	cur_str,cur_strlen,lineno,line_start_ptr,ptr	3	2	0	80	0	0	0	1	4	4	YES	YES	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	NO	E5 violation: Arena*-allocated char* returned across ABI	-	-	-	-	-	-
R-K	countNumberLen+lexCharConst	CORE_NUMERIC_EXTENT+HOST_C_CORE_CHAR_LITERAL	156	2	flags,lineno,line_start_ptr,ptr	cur_i64,cur_strlen,lineno,ptr,isfloat,ishex	1	4	26	48	0	0	0	2	4	6	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	292	26	208	296	230	4
R-L	lexNumeric+lexSkipCodeComment	CORE_NUMERIC_VALUE+CORE_COMMENT	58	3	flags,lineno,line_start_ptr,ptr	cur_i64,cur_f64,cur_strlen,lineno,line_start_ptr,ptr,ishex	1	4	28	0	0	0	0	0	4	7	YES	YES	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	YES	-	218	28	160	216	190	6
