region_id	member_functions	member_classes	semantic_loc	token_kinds	host_C_functions_absorbed
R-A	scalar_literal_extent	countNumberLen	CORE_NUMERIC_EXTENT	78	0	1
R-B	scalar_literal_value	lexNumeric	CORE_NUMERIC_VALUE	27	2 (TK_I64,TK_F64)	1
R-C	scalar_literal_char	lexCharConst	HOST_C_CORE_CHAR_LITERAL	78	1 (TK_CHAR_CONST)	1
R-D	scalar_literal_extent_value	countNumberLen+lexNumeric	CORE_NUMERIC_EXTENT+CORE_NUMERIC_VALUE	105	2 (TK_I64,TK_F64)	2
R-E	scalar_literal_value_char	lexNumeric+lexCharConst	CORE_NUMERIC_VALUE+HOST_C_CORE_CHAR_LITERAL	105	3 (TK_I64,TK_F64,TK_CHAR_CONST)	2
R-F	scalar_literal_scanner	countNumberLen+lexNumeric+lexCharConst	CORE_NUMERIC_EXTENT+CORE_NUMERIC_VALUE+HOST_C_CORE_CHAR_LITERAL	183	4 (TK_I64,TK_F64,TK_CHAR_CONST + dispatch)	3
R-G	comment_skip	lexSkipCodeComment	CORE_COMMENT	31	1 (TK_COMMENT)	1
R-H	comment_with_whitespace	lexSkipCodeComment+whitespace_cases	CORE_COMMENT+CORE_WHITESPACE	46	2 (TK_COMMENT + WS/NL token)	2
R-I	whitespace_dispatch	whitespace_cases_in_lexCore	CORE_WHITESPACE	15	2 (WS/NL token kinds under CCF_ACCEPT_*)	1
R-J	string_literal_scan	lexString	HOST_C_CORE_STRING	104	1 (TK_STR)	1
R-K	numeric_extent_char	countNumberLen+lexCharConst	CORE_NUMERIC_EXTENT+HOST_C_CORE_CHAR_LITERAL	156	2 (TK_I64/TK_F64 via extent + TK_CHAR_CONST)	2
R-L	numeric_value_comment	lexNumeric+lexSkipCodeComment	CORE_NUMERIC_VALUE+CORE_COMMENT	58	2 (TK_I64,TK_F64 + TK_COMMENT)	2
