# C3 fresh-region-inventory.tsv -- re-derived from C1 inputs only
# 17 region candidates (R-A..R-Q) including the additional R-M..R-Q pairs
region_id	member_functions	host_C_functions_absorbed	semantic_loc	distinct_token_kinds	scalar_fields_semantically_owned	internal_coupling	eliminated_abi_slots	eliminated_cursor_xings	abi_input_slots	abi_output_slots	pointer_fields_written	diagnostic_edges	alloc_edges	container_edges	E1_to_E14	eligible
R-A	countNumberLen	1	78	0	3	0	0	0	4	4	0	1	0	0	PASS	YES
R-B	lexNumeric	1	27	2	3	0	0	0	4	5	1	0	0	0	PASS	YES
R-C	lexCharConst	1	78	1	2	0	0	0	4	4	1	1	0	0	PASS	YES
R-D	countNumberLen+lexNumeric	2	105	2	5	34	7	2	4	6	1	1	0	0	PASS	YES
R-E	lexNumeric+lexCharConst	2	105	3	4	36	7	2	4	6	1	1	0	0	PASS	YES
R-F	countNumberLen+lexNumeric+lexCharConst	3	183	4	6	96	14	3	4	7	1	2	0	0	PASS	YES
R-G	lexSkipCodeComment	1	31	1	1	0	0	0	4	2	1	0	0	0	PASS	YES
R-H	lexSkipCodeComment+whitespace_cases	2	46	2	2	18	5	2	4	3	1	0	0	0	PASS	YES
R-I	whitespace_cases_in_lexCore	1	15	2	1	0	0	0	4	2	1	0	0	0	PASS	YES
R-J	lexString	1	104	1	2	0	0	0	4	4	3	1	1	0	FAIL_E5	NO
R-K	countNumberLen+lexCharConst	2	156	2	4	26	6	2	4	6	1	2	0	0	PASS	YES
R-L	lexNumeric+lexSkipCodeComment	2	58	3	4	28	4	2	4	7	1	0	0	0	PASS	YES
R-M	countNumberLen+whitespace_cases	2	93	2	4	16	5	2	4	4	1	1	0	0	PASS	YES
R-N	lexNumeric+whitespace_cases	2	42	4	4	16	5	2	4	5	1	0	0	0	PASS	YES
R-O	lexCharConst+whitespace_cases	2	93	3	3	16	5	2	4	4	1	1	0	0	PASS	YES
R-P	countNumberLen+lexSkipCodeComment	2	109	1	4	28	4	2	4	4	1	1	0	0	PASS	YES
R-Q	lexCharConst+lexSkipCodeComment	2	109	2	3	28	4	2	4	4	1	1	0	0	PASS	YES
