# C3 fresh-scores.tsv -- re-derived from C1 inputs only using the frozen ACT §17 formula
# OWNERSHIP_GAIN  = semantic_loc + 24*kinds + 12*absorbed + 16*scalar_owned
# COHESION_GAIN   = internal_coupling
# BOUNDARY_AMORT  = 24*elim_abi_slots + 32*elim_cursor_xings
# RISK            = 16*abi_in + 16*abi_out + 40*ptr_writes + 48*diag + 64*alloc + 96*container
# FINAL           = OWNERSHIP + COHESION + BOUNDARY_AMORT - RISK
region_id	semantic_loc	kinds	absorbed	scalar_owned	coupling	elim_abi	elim_xing	abi_in	abi_out	ptr_writes	diag	alloc	container	OWNERSHIP	COHESION	BOUNDARY_AMORT	RISK	FINAL
R-A	78	0	1	3	0	0	0	4	4	0	1	0	0	=78+0+12+48=138	=0	=0+0=0	=64+64+0+48+0+0=176	-38
R-B	27	2	1	3	0	0	0	4	5	1	0	0	0	=27+48+12+48=135	=0	=0+0=0	=64+80+40+0+0+0=184	-49
R-C	78	1	1	2	0	0	0	4	4	1	1	0	0	=78+24+12+32=146	=0	=0+0=0	=64+64+40+48+0+0=216	-70
R-D	105	2	2	5	34	7	2	4	6	1	1	0	0	=105+48+24+80=257	=34	=168+64=232	=64+96+40+48+0+0=248	275
R-E	105	3	2	4	36	7	2	4	6	1	1	0	0	=105+72+24+64=265	=36	=168+64=232	=64+96+40+48+0+0=248	285
R-F	183	4	3	6	96	14	3	4	7	1	2	0	0	=183+96+36+96=411	=96	=336+96=432	=64+112+40+96+0+0=312	627
R-G	31	1	1	1	0	0	0	4	2	1	0	0	0	=31+24+12+16=83	=0	=0+0=0	=64+32+40+0+0+0=136	-53
R-H	46	2	2	2	18	5	2	4	3	1	0	0	0	=46+48+24+32=150	=18	=120+64=184	=64+48+40+0+0+0=152	200
R-I	15	2	1	1	0	0	0	4	2	1	0	0	0	=15+48+12+16=91	=0	=0+0=0	=64+32+40+0+0+0=136	-45
R-J	-	-	-	-	-	-	-	-	-	-	-	-	-	INELIGIBLE_E5	-	-	-	INELIGIBLE
R-K	156	2	2	4	26	6	2	4	6	1	2	0	0	=156+48+24+64=292	=26	=144+64=208	=64+96+40+96+0+0=296	230
R-L	58	3	2	4	28	4	2	4	7	1	0	0	0	=58+72+24+64=218	=28	=96+64=160	=64+112+40+0+0+0=216	190
R-M	93	2	2	4	16	5	2	4	4	1	1	0	0	=93+48+24+64=229	=16	=120+64=184	=64+64+40+48+0+0=216	213
R-N	42	4	2	4	16	5	2	4	5	1	0	0	0	=42+96+24+64=226	=16	=120+64=184	=64+80+40+0+0+0=184	242
R-O	93	3	2	3	16	5	2	4	4	1	1	0	0	=93+72+24+48=237	=16	=120+64=184	=64+64+40+48+0+0=216	221
R-P	109	1	2	4	28	4	2	4	4	1	1	0	0	=109+24+24+64=221	=28	=96+64=160	=64+64+40+48+0+0=216	193
R-Q	109	2	2	3	28	4	2	4	4	1	1	0	0	=109+48+24+48=229	=28	=96+64=160	=64+64+40+48+0+0=216	201
