ACT-POLYC-SELFHOST-LEXER-SURFACE-RECON01 — C4 — final ranking
============================================================

Final ranking (sorted by FINAL_SCORE descending; tie-breaks per ACT §34):

  rank  region_id  FINAL_SCORE  E1..E14  ABI (in/out)  notes
  ----  ---------  -----------  -------  ------------  -----
  1     R-F        +627         PASS     4 / 7         WINNER; ROBUST margin
  2     R-E        +285         PASS     4 / 6         2-function fallback
  3     R-D        +275         PASS     4 / 6         subset of R-F
  4     R-N        +242         PASS     4 / 5         C3-only candidate
  5     R-K        +230         PASS     4 / 6         subset of R-F
  6     R-O        +221         PASS     4 / 4         C3-only candidate
  7     R-M        +213         PASS     4 / 4         C3-only candidate
  8     R-Q        +201         PASS     4 / 4         C3-only candidate
  9     R-H        +200         PASS     4 / 3         comment + whitespace
  10    R-P        +193         PASS     4 / 4         C3-only candidate
  11    R-L        +190         PASS     4 / 7         numeric + comment
  12    R-G        -53          PASS     4 / 2         negative
  13    R-I        -45          PASS     4 / 2         negative
  14    R-A        -38          PASS     4 / 4         negative
  15    R-B        -49          PASS     4 / 5         negative
  16    R-C        -70          PASS     4 / 4         negative
  ---   R-J        -            FAIL E5  -             ineligible

Tie-break ACT §34 not triggered (no ties at any rank).

WINNER_MARGIN: 627 - 285 = 342 -> ROBUST (>= 100 per ACT §37).
