function_name	file	line	classification	rationale
vecLexemeToString	src/lexer.c	27	HOST_C_SUPPORT	debug print helper, no lexer semantics
vecLexemeRelease	src/lexer.c	32	HOST_C_SUPPORT	Vec-of-Lexeme release, no lexer semantics
lexPreProcIf	src/lexer.c	66	HOST_C_PREPROCESSOR	preprocessor directive dispatch (forward decl)
lexemeMemoryInit	src/lexer.c	71	HOST_C_SUPPORT	lexeme allocator init
lexemeMemoryRelease	src/lexer.c	78	HOST_C_SUPPORT	lexeme allocator release
lexemeMemoryStats	src/lexer.c	85	HOST_C_SUPPORT	lexeme allocator stats
lexemeNew	src/lexer.c	192	HOST_C_SUPPORT	lexeme allocation
lexemeSentinal	src/lexer.c	202	HOST_C_SUPPORT	EOF sentinel lexeme
lexemeAssignOp	src/lexer.c	212	HOST_C_SUPPORT	lexeme constructor for op tokens
lexemeTokNew	src/lexer.c	225	HOST_C_SUPPORT	lexeme constructor for char tokens
lexemeCopy	src/lexer.c	236	HOST_C_SUPPORT	lexeme copy
lexemeNewOp	src/lexer.c	242	HOST_C_SUPPORT	lexeme constructor for op tokens (alias)
lexRaise	src/lexer.c	254	HOST_C_DIAGNOSTIC	exception raise
lexInit	src/lexer.c	292	HOST_C_CORE_LEXER	lexer init (state setup; not pure token recognition)
lexerRelease	src/lexer.c	330	HOST_C_CORE_LEXER	lexer teardown
lexSetBuiltinRoot	src/lexer.c	338	HOST_C_FILE_STACK	set builtin include root
tokenPunctIs	src/lexer.c	343	HOST_C_SUPPORT	lexeme matcher helper
tokenIdentIs	src/lexer.c	348	HOST_C_SUPPORT	lexeme matcher helper
lexemeTypeToString	src/lexer.c	354	HOST_C_SUPPORT	debug
lexemePunctToEncodedString	src/lexer.c	369	HOST_C_SUPPORT	debug
lexemePunctToString	src/lexer.c	442	HOST_C_SUPPORT	debug
lexemePunctToStringWithFlags	src/lexer.c	485	HOST_C_SUPPORT	debug
lexemeToAoStr	src/lexer.c	490	HOST_C_SUPPORT	debug
lexemeToString	src/lexer.c	607	HOST_C_SUPPORT	debug
lexemePrint	src/lexer.c	612	HOST_C_SUPPORT	debug
lexNextChar	src/lexer.c	620	HOST_C_CORE_LEXER	low-level cursor advance (state machine; not a single coherent slice)
lexRewindChar	src/lexer.c	649	HOST_C_CORE_LEXER	single-byte rewind helper
lexPeekMatch	src/lexer.c	654	HOST_C_CORE_LEXER	cursor peek helper
lexPeek	src/lexer.c	658	HOST_C_CORE_LEXER	cursor peek helper
lexReadfile	src/lexer.c	663	HOST_C_FILE_STACK	file IO
lexPushFile	src/lexer.c	699	HOST_C_FILE_STACK	file-stack push
lexPushString	src/lexer.c	737	HOST_C_FILE_STACK	in-memory file push
lexSkipCodeComment	src/lexer.c	763	HOST_C_CORE_LEXER	whitespace+comment skip slice candidate
countNumberLen	src/lexer.c	795	HOST_C_CORE_LEXER	numeric-length scanner slice candidate
lexIdentifier	src/lexer.c	874	SELFHOSTED	already migrated via ACT-POLYC-BOOTSTRAP02
lexString	src/lexer.c	966	HOST_C_CORE_LEXER	string-literal scan (allocates buffer; E5 concerns)
lexCharConst	src/lexer.c	1073	HOST_C_CORE_LEXER	char-const scan (writes to l->cur_i64; mutates lexer state)
lexNumeric	src/lexer.c	1152	HOST_C_CORE_LEXER	numeric-value dispatcher; mutates l->cur_*, l->ptr, l->ishex
lexPreProcDirective	src/lexer.c	1180	HOST_C_PREPROCESSOR	preprocessor directive dispatch
lexCore	src/lexer.c	1205	HOST_C_CORE_LEXER	top-level dispatcher (contains operator cases slice candidate)
lex	src/lexer.c	1560	HOST_C_CORE_LEXER	public entry (wraps lexCore with line/col capture)
lexInclude	src/lexer.c	1568	HOST_C_PREPROCESSOR	#include handling
listContainsAoStr	src/lexer.c	1617	HOST_C_SUPPORT	preprocessor helper
lexLink	src/lexer.c	1631	HOST_C_PREPROCESSOR	#include link tracking
lexDefine	src/lexer.c	1679	HOST_C_MACRO	#define handling (Map ownership)
lexUndef	src/lexer.c	1795	HOST_C_MACRO	#undef handling
lexPreProcBoolean	src/lexer.c	1946	HOST_C_PREPROCESSOR	preprocessor boolean
lexSetAsmFlags	src/lexer.c	2054	HOST_C_SUPPORT	set asm-block flags
lexUnSetAsmFlags	src/lexer.c	2058	HOST_C_SUPPORT	clear asm-block flags
lexToken	src/lexer.c	2062	HOST_C_CORE_LEXER	parse-time token driver (calls lexCore with macro substitution)
lexemeFree	src/lexer.c	2167	HOST_C_SUPPORT	lexeme deallocator
lexReleaseLexFile	src/lexer.c	2174	HOST_C_FILE_STACK	file release
lexReleaseAllFiles	src/lexer.c	2178	HOST_C_FILE_STACK	file release loop
lexerReportLine	src/lexer.c	2183	HOST_C_DIAGNOSTIC	error report renderer
lexemeEq	src/lexer.c	2219	HOST_C_SUPPORT	lexeme equality
