object_path	compiler_identity	compiler_binary_sha256	source	mtime_irrelevant	expected_sha256
# Compiled at 2026-09-14T08:53:51Z
# Compiler binaries:
#   build/hcc sha256=9ebeebd6784300e84e7cc64345c8fd8d42740092d9ffce13e4de201f8b92c474 (stage0)
#   build/hcc-bootstrap02 sha256=9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6 (stage1)
#   build/hcc-bootstrap03 sha256=9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4 (stage2)
#   build/hcc-bootstrap04 sha256=2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7 (stage3)
build/lexer07-corpus-4stage/s1/1_src_holyc-lib_all.o	stage1	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	src/holyc-lib/all.HC	N/A	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63
build/lexer07-corpus-4stage/s2/1_src_holyc-lib_all.o	stage2	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	src/holyc-lib/all.HC	N/A	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63
build/lexer07-corpus-4stage/s3/1_src_holyc-lib_all.o	stage3	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	src/holyc-lib/all.HC	N/A	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63
build/b02-corpus-A/0_all.o	stage0-historical	9ebeebd6784300e84e7cc64345c8fd8d42740092d9ffce13e4de201f8b92c474	src/holyc-lib/all.HC	N/A	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63
build/lexer07-corpus-4stage/s1/5_src_holyc-lib_csv.o	stage1	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	src/holyc-lib/csv.HC	N/A	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414
build/lexer07-corpus-4stage/s2/5_src_holyc-lib_csv.o	stage2	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	src/holyc-lib/csv.HC	N/A	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414
build/lexer07-corpus-4stage/s3/5_src_holyc-lib_csv.o	stage3	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	src/holyc-lib/csv.HC	N/A	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414
build/lexer07-corpus-4stage/s0/5_src_holyc-lib_csv.o	stage0	9ebeebd6784300e84e7cc64345c8fd8d42740092d9ffce13e4de201f8b92c474	src/holyc-lib/csv.HC	N/A	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414
build/lexer07-corpus-4stage/s1/6_src_holyc-lib_date.o	stage1	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	src/holyc-lib/date.HC	N/A	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2
build/lexer07-corpus-4stage/s2/6_src_holyc-lib_date.o	stage2	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	src/holyc-lib/date.HC	N/A	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2
build/lexer07-corpus-4stage/s3/6_src_holyc-lib_date.o	stage3	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	src/holyc-lib/date.HC	N/A	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2
build/b02-corpus-A/5_date.o	stage0-historical	9ebeebd6784300e84e7cc64345c8fd8d42740092d9ffce13e4de201f8b92c474	src/holyc-lib/date.HC	N/A	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2
build/lexer07-corpus-4stage/s1/7_src_holyc-lib_dir.o	stage1	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	src/holyc-lib/dir.HC	N/A	ff793de5949f0315390d6fb401311263c851d9c5df9f99e29788a9ed815634da
build/lexer07-corpus-4stage/s2/7_src_holyc-lib_dir.o	stage2	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	src/holyc-lib/dir.HC	N/A	ff793de5949f0315390d6fb401311263c851d9c5df9f99e29788a9ed815634da
build/lexer07-corpus-4stage/s3/7_src_holyc-lib_dir.o	stage3	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	src/holyc-lib/dir.HC	N/A	ff793de5949f0315390d6fb401311263c851d9c5df9f99e29788a9ed815634da
build/lexer07-corpus-4stage/s0/7_src_holyc-lib_dir.o	stage0	9ebeebd6784300e84e7cc64345c8fd8d42740092d9ffce13e4de201f8b92c474	src/holyc-lib/dir.HC	N/A	ff793de5949f0315390d6fb401311263c851d9c5df9f99e29788a9ed815634da
build/lexer07-corpus-4stage/s1/8_src_holyc-lib_except.o	stage1	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	src/holyc-lib/except.HC	N/A	94a8039f2dd559bba73abf684da244b63bb8e10457a58deb98a279035876f5bb
build/lexer07-corpus-4stage/s2/8_src_holyc-lib_except.o	stage2	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	src/holyc-lib/except.HC	N/A	94a8039f2dd559bba73abf684da244b63bb8e10457a58deb98a279035876f5bb
build/lexer07-corpus-4stage/s3/8_src_holyc-lib_except.o	stage3	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	src/holyc-lib/except.HC	N/A	94a8039f2dd559bba73abf684da244b63bb8e10457a58deb98a279035876f5bb
build/lexer07-corpus-4stage/s0/8_src_holyc-lib_except.o	stage0	9ebeebd6784300e84e7cc64345c8fd8d42740092d9ffce13e4de201f8b92c474	src/holyc-lib/except.HC	N/A	94a8039f2dd559bba73abf684da244b63bb8e10457a58deb98a279035876f5bb
build/lexer07-corpus-4stage/s1/9_src_holyc-lib_fzf.o	stage1	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	src/holyc-lib/fzf.HC	N/A	021d2d8152df9cba35ec5cf1064ed71e8a2f7ce20bcb3fa3ca893c5d3db42bb0
build/lexer07-corpus-4stage/s2/9_src_holyc-lib_fzf.o	stage2	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	src/holyc-lib/fzf.HC	N/A	021d2d8152df9cba35ec5cf1064ed71e8a2f7ce20bcb3fa3ca893c5d3db42bb0
