name	src	cursor	flags	observed_kind	observed_err	observed_strlen	observed_i64	src_len	is_numeric	is_char	is_negative	is_edge
dec_0	0;	0		1	0	1	0	2	1	0	0	0
dec_1	1;	0		1	0	1	1	2	1	0	0	0
dec_9	9;	0		1	0	1	9	2	1	0	0	0
dec_10	10;	0		1	0	2	a	3	1	0	0	0
dec_42	42;	0		1	0	2	2a	3	1	0	0	0
dec_123456789	123456789;	0		1	0	9	75bcd15	10	1	0	0	0
dec_007_leading_zero	007;	0		1	0	3	7	4	1	0	0	0
dec_000	000;	0		1	0	3	0	4	1	0	0	0
dec_1_at_cursor1	x1;	1		1	0	1	1	3	1	0	0	0
dec_2pow31	2147483648;	0		1	0	10	80000000	11	1	0	0	0
dec_max_u64	18446744073709551615;	0		1	0	20	7fffffffffffffff	21	1	0	0	0
dec_overflow_u64	99999999999999999999;	0		1	0	20	7fffffffffffffff	21	1	0	0	0
hex_0x0	0x0;	0		1	0	3	0	4	1	0	0	0
hex_0x1	0x1;	0		1	0	3	1	4	1	0	0	0
hex_0x7f	0x7f;	0		1	0	4	7f	5	1	0	0	0
hex_0XFF	0XFF;	0		1	0	4	ff	5	1	0	0	0
hex_0xdeadbeef	0xdeadbeef;	0		1	0	10	deadbeef	11	1	0	0	0
hex_0XDEADBEEF	0XDEADBEEF;	0		1	0	10	deadbeef	11	1	0	0	0
hex_0xCAFEBABE	0xCAFEBABE;	0		1	0	10	cafebabe	11	1	0	0	0
hex_0xMixedCase	0xAbCdEf;	0		1	0	8	abcdef	9	1	0	0	0
hex_0xff_no_semi	0xff\n	0		1	0	4	ff	6	1	0	0	0
hex_0x_op_letter	0xZ;	0		1	0	2	0	4	1	0	0	0
flt_0_0	0.0;	0		2	0	3	0	4	1	0	0	0
flt_1_0	1.0;	0		2	0	3	0	4	1	0	0	0
flt_1_	1.;	0		2	0	2	0	3	1	0	0	0
flt_123_456	123.456;	0		2	0	7	0	8	1	0	0	0
flt_1_0f32	1.0f32;	0		2	0	6	0	7	1	0	0	0
flt_1_0f64	1.0f64;	0		2	0	6	0	7	1	0	0	0
exp_1e2_i64	1e2;	0		1	0	3	1	4	1	0	0	0
exp_1e_neg	1e-2;	0		1	0	2	1	5	1	0	0	0
exp_1e_plus	1e+2;	0		1	0	2	1	5	1	0	0	0
exp_2_5e10	2.5e10;	0		2	0	6	0	7	1	0	0	0
exp_3_14e_neg	3.14e-5;	0		2	0	5	0	8	1	0	0	0
err_hex_with_dot	0x.5;	0		4	1	0	0	5	0	0	1	0
err_hex_with_e	0xFe;	0		1	0	4	fe	5	1	0	0	0
err_two_dots	1.2.3;	0		4	1	0	0	6	0	0	1	0
err_two_e_letters	1e2e3;	0		4	1	0	0	6	0	0	1	0
err_two_x_letters	0xx1;	0		4	1	0	0	5	0	0	1	0
nz_xx123	xx123;	2		1	0	3	7b	6	1	0	0	0
nz_xx0xff	xx0xff;	2		1	0	4	ff	7	1	0	0	0
nz_xx1_5	xx1.5;	2		2	0	3	0	6	1	0	0	0
nz_xx_a_	xx'a';	2		3	0	1	61	6	0	1	0	0
chr_a	'a';	0		3	0	1	61	4	0	1	0	0
chr_0	'0';	0		3	0	1	30	4	0	1	0	0
chr_sp	' ';	0		3	0	1	20	4	0	1	0	0
chr_tilde	'~';	0		3	0	1	7e	4	0	1	0	0
chr_nl	'\\n';	0		3	0	1	a	6	0	1	0	0
chr_cr	'\\r';	0		3	0	1	d	6	0	1	0	0
chr_tab	'\\t';	0		3	0	1	9	6	0	1	0	0
chr_bsl	'\\\\';	0		3	0	1	5c	7	0	1	0	0
chr_sq	'\\'';	0		3	0	1	27	6	0	1	0	0
chr_dq	'\\\	0		3	0	1	22	4	0	1	0	0
