src	idx	stem	s0_rc	s1_rc	s2_rc	s3_rc	s0_sha256	s1_sha256	s2_sha256	s3_sha256	class	diff
src/holyc-lib/all.HC	1	all	0	0	0	0	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/bitvec.HC	2	bitvec	1	1	1	1	EMPTY	EMPTY	EMPTY	EMPTY	BOTH_FAIL_4	all-fail
src/holyc-lib/builtins.HC	3	builtins	1	1	1	1	EMPTY	EMPTY	EMPTY	EMPTY	BOTH_FAIL_4	all-fail
src/holyc-lib/coroutines.HC	4	coroutines	1	1	1	1	EMPTY	EMPTY	EMPTY	EMPTY	BOTH_FAIL_4	all-fail
src/holyc-lib/csv.HC	5	csv	0	0	0	0	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/date.HC	6	date	0	0	0	0	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/dir.HC	7	dir	0	0	0	0	ff793de5949f0315390d6fb401311263c851d9c5df9f99e29788a9ed815634da	ff793de5949f0315390d6fb401311263c851d9c5df9f99e29788a9ed815634da	ff793de5949f0315390d6fb401311263c851d9c5df9f99e29788a9ed815634da	ff793de5949f0315390d6fb401311263c851d9c5df9f99e29788a9ed815634da	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/except.HC	8	except	0	0	0	0	94a8039f2dd559bba73abf684da244b63bb8e10457a58deb98a279035876f5bb	94a8039f2dd559bba73abf684da244b63bb8e10457a58deb98a279035876f5bb	94a8039f2dd559bba73abf684da244b63bb8e10457a58deb98a279035876f5bb	94a8039f2dd559bba73abf684da244b63bb8e10457a58deb98a279035876f5bb	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/fzf.HC	9	fzf	0	0	0	0	021d2d8152df9cba35ec5cf1064ed71e8a2f7ce20bcb3fa3ca893c5d3db42bb0	021d2d8152df9cba35ec5cf1064ed71e8a2f7ce20bcb3fa3ca893c5d3db42bb0	021d2d8152df9cba35ec5cf1064ed71e8a2f7ce20bcb3fa3ca893c5d3db42bb0	021d2d8152df9cba35ec5cf1064ed71e8a2f7ce20bcb3fa3ca893c5d3db42bb0	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/hashtable.HC	10	hashtable	0	0	0	0	1e7c210aca666796b20ac564494ecc43b11101564964746dd5fb3d093a7f55cb	1e7c210aca666796b20ac564494ecc43b11101564964746dd5fb3d093a7f55cb	1e7c210aca666796b20ac564494ecc43b11101564964746dd5fb3d093a7f55cb	1e7c210aca666796b20ac564494ecc43b11101564964746dd5fb3d093a7f55cb	BYTE_IDENTICAL_4	all-4-byte-identical
