source	stage	object_path	provenance_class	object_sha256	compiler_binary_path	compiler_binary_sha256	fnv1a64
src/holyc-lib/all.HC	stage0	build/b02-corpus-A/0_all.o	stage0-historical	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63	./build/hcc	86b6756cdfd39cc92c9a8cd031821fdbe1d9ce42274791fd402934f903092499	ce658c0b61239cd5
src/holyc-lib/all.HC	stage1	build/lexer07-corpus-4stage/s1/1_all.o	stage1	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63	./build/hcc-bootstrap02	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	ce658c0b61239cd5
src/holyc-lib/all.HC	stage2	build/lexer07-corpus-4stage/s2/1_all.o	stage2	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63	./build/hcc-bootstrap03	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	ce658c0b61239cd5
src/holyc-lib/all.HC	stage3	build/lexer07-corpus-4stage/s3/1_all.o	stage3	2dda65210bd70f48c9087bf171811e54018a131edf738a072432a4ac35993d63	./build/hcc-bootstrap04	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	ce658c0b61239cd5
src/holyc-lib/csv.HC	stage0	build/lexer07-corpus-4stage/s0/5_csv.o	stage0-current	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414	./build/hcc	86b6756cdfd39cc92c9a8cd031821fdbe1d9ce42274791fd402934f903092499	f7b278810e18df6a
src/holyc-lib/csv.HC	stage1	build/lexer07-corpus-4stage/s1/5_csv.o	stage1	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414	./build/hcc-bootstrap02	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	f7b278810e18df6a
src/holyc-lib/csv.HC	stage2	build/lexer07-corpus-4stage/s2/5_csv.o	stage2	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414	./build/hcc-bootstrap03	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	f7b278810e18df6a
src/holyc-lib/csv.HC	stage3	build/lexer07-corpus-4stage/s3/5_csv.o	stage3	f7523fab5c25020bf9db6dcdaa19c984cff9b6efe51943047b001df625c5c414	./build/hcc-bootstrap04	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	f7b278810e18df6a
src/holyc-lib/date.HC	stage0	build/b02-corpus-A/5_date.o	stage0-historical	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2	./build/hcc	86b6756cdfd39cc92c9a8cd031821fdbe1d9ce42274791fd402934f903092499	8583013d69fbbf29
src/holyc-lib/date.HC	stage1	build/lexer07-corpus-4stage/s1/6_date.o	stage1	84cfbd4684c175ca4e3888501f1a7019a4acba02de384ac99c204732b2e766f2	./build/hcc-bootstrap02	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	8583013d69fbbf29
