ac_id	mandatory	status	evidence_path
AC01	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-dirty-writer-attribution.txt
AC02	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-broad-corpus.txt
AC03	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-objects-byte-equal.txt
AC04	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-broad-corpus.txt
AC05	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-stub-negative-control.txt
AC06	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-corrupt-negative-control.txt
AC07	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-fixture-negative-control.txt
AC08	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-proof-verifier-normal.txt
AC09	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-fixture-inventory.txt
AC10	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-sha256-selftest.txt
AC11	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-closed-evidence-immutability.txt
AC12	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-no-python-baseline.txt
AC13	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-factory-gates.txt
AC14	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-factory-gates.txt
AC15	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-mandatory-ac-check.txt
AC16	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-patch-hygiene.txt
AC17	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-required-result.txt
AC18	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-closed-evidence-immutability.txt
AC19	0	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-required-result.txt
AC20	1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER02/CORRECTION05-CORRECTION01/c3/c3-required-result.txt
