name	src	cursor	flags	observed_kind	observed_err	observed_strlen	src_len	is_numeric	is_char	is_negative	is_edge
dec_0	0;	0	0	1	0	1	2	1	0	0	0
dec_1	1;	0	0	1	0	1	2	1	0	0	0
dec_9	9;	0	0	1	0	1	2	1	0	0	0
dec_10	10;	0	0	1	0	2	3	1	0	0	0
dec_42	42;	0	0	1	0	2	3	1	0	0	0
dec_123456789	123456789;	0	0	1	0	9	10	1	0	0	0
dec_007_leading_zero	007;	0	0	1	0	3	4	1	0	0	0
dec_000	000;	0	0	1	0	3	4	1	0	0	0
dec_1_at_cursor1	x1;	1	0	1	0	1	3	1	0	0	0
dec_2pow31	2147483648;	0	0	1	0	10	11	1	0	0	0
dec_max_u64	18446744073709551615;	0	0	1	0	20	21	1	0	0	0
dec_overflow_u64	99999999999999999999;	0	0	1	0	20	21	1	0	0	0
hex_0x0	0x0;	0	0	1	0	3	4	1	0	0	0
hex_0x1	0x1;	0	0	1	0	3	4	1	0	0	0
hex_0x7f	0x7f;	0	0	1	0	4	5	1	0	0	0
hex_0XFF	0XFF;	0	0	1	0	4	5	1	0	0	0
hex_0xdeadbeef	0xdeadbeef;	0	0	1	0	10	11	1	0	0	0
hex_0XDEADBEEF	0XDEADBEEF;	0	0	1	0	10	11	1	0	0	0
hex_0xCAFEBABE	0xCAFEBABE;	0	0	1	0	10	11	1	0	0	0
hex_0xMixedCase	0xAbCdEf;	0	0	1	0	8	9	1	0	0	0
hex_0xff_no_semi	0xff\n	0	0	1	0	4	5	1	0	0	0
hex_0x_op_letter	0xZ;	0	0	1	0	2	4	1	0	0	0
flt_0_0	0.0;	0	0	2	0	3	4	1	0	0	0
flt_1_0	1.0;	0	0	2	0	3	4	1	0	0	0
flt_1_	1.;	0	0	2	0	2	3	1	0	0	0
flt_123_456	123.456;	0	0	2	0	7	8	1	0	0	0
flt_1_0f32	1.0f32;	0	0	2	0	6	7	1	0	0	0
