ac_id	exact_authorized_description	source_line_or_section	mandatory
PREV-AC01	WORKTREE_CLEAN_AT_ENTRY=YES	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC02	SURFACE_RECON02=PASS_TRUE_GREEN; SELECTED_TARGET=INV.LEXER.LINK; SELECTED_ATOMIC_SLICE=lexLink/#link	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC03	LEXER04_RED_REPRODUCED=YES	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC04	SLICE_LEVERAGE_PROVEN=YES	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC05	UNKNOWN_STATE_EFFECTS=0	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC06	FIXTURE_TOTAL=<frozen total>; FIXTURE_CLASS_TOTAL=<frozen class total>	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC07	LEXCORE_MUTATION=0; PREPROCESSOR_OTHER_THAN_LINK_MUTATION=0; FORBIDDEN_SUBSYSTEM_DELTA=0	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC08	selfhost-lexer-link.HC=EXISTS; BootstrapLinkDirective=EXISTS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC09	POLYC_PRODUCTION_DELEGATION_PRESENT=YES	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC10	LEXER09_DIRECT_DIFFERENTIAL_FAIL=0; STATUS=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC11	LEXER09_PRODUCTION_SEAM=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC12	LEXER09_4_STAGE_SEMANTIC_SEAM=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC13	G0_COMPONENT_COMPILE=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC14	G1_COMPONENT_COMPILE=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC15	G2_COMPONENT_COMPILE=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC16	G3_COMPONENT_COMPILE=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC17	LEXER09_COMPONENT_OBJECT_FIXED_POINT=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC18	PROVENANCE_ROWS=4; SOURCE_SHA_UNIQUE_COUNT=1	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC19	G3_REPEAT_BYTE_EQUAL=YES	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC20	LEXER09_NEGATIVE_CONTROL=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC21	47/47 PASS (LEXER01)	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC22	89/89 PASS (LEXER02)	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC23	45/45 PASS (LEXER03); LEXER03_COMPONENT_OBJECT_FIXED_POINT=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC24	BROAD_CORPUS_CONSERVATION=PASS	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC25	NEW_PYTHON_SOURCES=0; NEW_PYTHON_INVOCATIONS=0	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC26	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0; SHELL_LOC_GATE=PASS (predecessor C substitutions retired as authoritative tooling)	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC27	gate-fast=PASS; factory-append-only-test=PASS; + all authoritative current gates	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC28	CLOSED_PREDECESSOR_EVIDENCE_DELTA=0	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC29	git diff --check=clean	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC30	WORKTREE_CLEAN_AT_CLOSE=YES	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC31	APPEND_ONLY_HISTORY=TRUE	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
PREV-AC32	C4_C3_EVIDENCE_DELTA=0	ACT-POLYC-SELFHOST-LEXER04-CORRECTION01.md §31	YES
