fixture_id	input	class	present_in_direct_differential	present_in_stage01_seam	required_in_4stage_seam	source_evidence
L01	#link "foo.so"	quoted_valid	YES	YES	YES	evidence/ACT-POLYC-SELFHOST-LEXER04/c1/c1-link-fixtures.tsv (LF01 mapped)
L02	#link <m>	angle_valid	YES	YES	YES	LF02 mapped
L03	#link "liba.so"\n#link <libb>	multiple_link	YES	YES	YES	LF03 mapped
L04	#link ""	quoted_edge_empty	YES	YES	YES	LF04 mapped
L05	#link <>	angle_edge_empty	YES	YES	YES	LF05 mapped
L06	#link 42	invalid_token_numeric	YES	YES	YES	LF06 mapped
L07	#link ident	invalid_token_ident	YES	YES	YES	LF07 mapped
L08	#link	invalid_missing_target	YES	YES	YES	LF08 mapped
L09	#link <foo	invalid_unterminated_angle	YES	YES	YES	LF09 mapped
L10	#link "./foo	invalid_unterminated_quoted	YES	YES	YES	LF10 mapped
