ACT-POLYC-SELFHOST-LEXER04-CORRECTION02 -- C3 -- per-fixture 4-way equivalence
================================================================================

fixture_id	g0_present	g1_present	g2_present	g3_present	four_way_equal
L01_single_qpath	1	1	1	1	YES
L02_single_angle	1	1	1	1	YES
L03_multi_mixed	1	1	1	1	YES
L04_angle_dup	1	1	1	1	YES
L05_qpath_dup	1	1	1	1	YES
L06_back_to_back	1	1	1	1	YES
L07_angle_complex	1	1	1	1	YES
L08_qpath_dots	1	1	1	1	YES
L09_only_link	1	1	1	1	YES
L10_no_directive	1	1	1	1	YES

FIXTURE_DIVERGENCE_COUNT=0

VERDICT: PASS (10/10 fixtures present in all 4 generations; 4-way equal)
