semantic_responsibility	current_owner	desired_owner	adapter_allowed	duplicate_logic_present	source_location
target form recognition (<' or '"')	BootstrapLinkDirective (called but result discarded)	BootstrapLinkDirective (result consumed)	yes (just dispatch)	yes (legacy C checks tokenPunctIs(&next,'<') in addition to PolyC detection)	src/lexer.c:1965-1992 + tools/bootstrap/selfhost-lexer-link.HC:170-200
quoted-path parsing	BootstrapLinkDirective (LinkScanQuoted, called but result discarded)	BootstrapLinkDirective	yes (final AoStr assembly)	yes (legacy aoStrDupRaw(next.start, next.len) at src/lexer.c:2023)	src/lexer.c:1995-2023 + selfhost-lexer-link.HC:110-138
angle-target parsing	BootstrapLinkDirective (LinkScanAngle, called but result discarded)	BootstrapLinkDirective	yes (final AoStr assembly)	yes (legacy for-loop token-by-token at src/lexer.c:1966-1994)	src/lexer.c:1965-1994 + selfhost-lexer-link.HC:140-167
unterminated target detection	BootstrapLinkDirective (called; result discarded) + legacy (lex() returns false in for-loop)	BootstrapLinkDirective (link_err_unterm_ang/quot)	yes (lexRaise dispatch)	yes (legacy lex() loop at src/lexer.c:1968-1971; src/lexer.c:1996)	src/lexer.c:1968-1971, 1995-1996 + selfhost-lexer-link.HC LINK_ERR_UNTERM_ANG/QUOT
target-byte preservation	BootstrapLinkDirective (out_stored_len; discarded)	BootstrapLinkDirective (out_stored_len consumed; out_target_bytes consumed)	yes (AoStr assembly)	YES: lib-complex_1.0 -> lib-complex_1co (legacy concatenates . with next-iteration token "0" maybe)	selfhost-lexer-link.HC:160-167 + src/lexer.c:1993 (aoStrCatPrintf)
target length	BootstrapLinkDirective (out_stored_len; discarded)	BootstrapLinkDirective (out_stored_len consumed)	yes	yes (legacy aoStrCatPrintf %.*s with next.len)	src/lexer.c:1993, 2023
bytes consumed	BootstrapLinkDirective (out_consumed; discarded)	BootstrapLinkDirective (out_consumed consumed; advance l->ptr)	yes	yes (legacy lex() loop in for)	src/lexer.c:1966-1994 + 1995-2023 + selfhost-lexer-link.HC:160-167
target kind (path vs library)	BootstrapLinkDirective (out_is_path; discarded)	BootstrapLinkDirective (out_is_path consumed)	yes	yes (legacy is_path local + token type check)	src/lexer.c:1960, 1995-1996 + selfhost-lexer-link.HC:185-198
duplicate suppression	listNew / listContainsAoStr / listAppend (C)	listNew / listContainsAoStr / listAppend (C)	yes	no	listAppend/listContainsAoStr at src/lexer.c:2037-2043
link_libs insertion	C adapter (via is_path, listAppend)	C adapter (using out_is_path from component)	yes	no	src/lexer.c:2035-2043
shared_object_files insertion	C adapter (via is_path, listAppend)	C adapter (using out_is_path from component)	yes	no	src/lexer.c:2035-2043
diagnostic/error classification	lexRaise (C) + BootstrapLinkDirective out_error (discarded)	lexRaise translated from out_error	yes	no	lexRaise at src/lexer.c:1963, 1970, 2025; selfhost-lexer-link.HC LINK_ERR_*
cursor advancement	lex() loop (C)	lex() loop until component's out_consumed matches remaining bytes	yes	no	src/lexer.c:1966-1994 + 1995-2023
