ac_id	exact_predicate	predicate_sha256	mandatory	phase
AC01	C0_AUTH_BEFORE_WORK=YES; WORKTREE_CLEAN_AT_C0=YES	4e7eeba8a14ae8f8aaa0eb4b4d73f7d4c02e430460c3e30b0eb087bd96595a91	YES	AUTH
AC02	CORRECTION02_FALSE_GREEN_REPRODUCED=YES	822b57d0756b7035bb7adce44ffb47d18c9b2179edb6f75c82285fa93a9762b0	YES	RED
AC03	BOOTSTRAP_LINK_DIRECTIVE_ROLE=PRODUCTION_AUTHORITY	b8fe499957e7db92c9abf0efd59dad9fecd76b1ae391574d48f984b10e645f68	YES	RED
AC04	PRODUCTION_AUTHORITY_RED=CONFIRMED	530e555c797d6b8aff4adc2a16140f35cc0699e84ea93f3906d0e9f4b958dbb3	YES	RED
AC05	LINK_TARGET_GRAMMAR_FROZEN=YES	a8282f411c91ae65acf87e22b6208e0230986d0710c3c40cfd41bf3f2667cc47	YES	RED
AC06	COMPLEX_TARGET_EXPECTATION_FROZEN=YES	4d9439b5e5e8f3b09ce3e7c5cace0cf4e58e8f7e8fdaa5f44c5f7844bb5ea661	YES	RED
AC07	POLYC_OUTPUTS_CONSUMED_BY_PRODUCTION=YES	29603345a7b14cb3573ce4a3a64078974d8e93380010835521511e4297a0ecf3	YES	IMPL
AC08	SELFHOST_DUPLICATE_TARGET_PARSE=0	a0636c57e2526dd8523959b8bb1df66804cadf2c371cb500ebd5ac7de3bd7cbb	YES	IMPL
AC09	DIRECT_DIFFERENTIAL_FAIL=0	1a660fe258c59b66a8192d68533dd92f79688d1f38d410f844fbf3a7db066967	YES	IMPL
AC10	COMPONENT_PAIR_PASS=6; COMPONENT_PAIR_FAIL=0	1461d52c595b2ff164cf853d0321a61c95ab1f812d17b020ec378b276f822c57	YES	IMPL
AC11	lib-complex_1.0 -> lib-complex_1.0	b8abcdcb6e836cce5e49cb70fed2a80d6d4fbffc2c55608d5d8a6ec326db2050	YES	IMPL
AC12	SEMANTIC_OUTPUT_MUTATION_DETECTED=YES	71ed794f73100117f553188101073fc22b84ef6721ccf6e9750ed8431bb55220	YES	IMPL
AC13	MUTATED_SUBJECT_DIVERGENCE_DETECTED=YES	7dd25e9ba57577f18cc4aba48ca59390252995630efa46e1706f4d970d706631	YES	IMPL
AC14	LEGACY_BYPASS_CONTROL_PROVES_ARCHITECTURE=YES	c87bc98d352f9f65c9fd96b7213cb4b807a651022a262e5418d67060736730d8	YES	IMPL
AC15	G0_BUILD_RC=0; G0_EXEC_RC=0	d2af0f58d064c3abd2ffda3a2bcc2e31c0cd01e4a0764c31ac72e294689e8154	YES	IMPL
AC16	G1_BUILD_RC=0; G1_EXEC_RC=0	23d0438fea1d5cffdfb1d7c69732a3934836393cc5278c3c927061cf3d8938b3	YES	IMPL
AC17	G2_BUILD_RC=0; G2_EXEC_RC=0	7049cae27c651f2a564e98501bca790e993254b636dc38c96c4651e6c1fe56bc	YES	IMPL
AC18	G3_BUILD_RC=0; G3_EXEC_RC=0	3a22845c67ecd8e8f21c54d09f5dd21a5faa297b62f54f21513bd198c55917b8	YES	IMPL
AC19	GENERATION_COPY_DETECTED=YES	327c8955729152aeeeaef65aeafa80abce570eca4953eac45c33121c2adcaf04	YES	IMPL
AC20	SEMANTIC_PAIR_PASS=6; SEMANTIC_PAIR_FAIL=0; FIXTURE_DIVERGENCE_COUNT=0	6164a0f060f5c4853cb427348cc1a94cddffebeaea94e6cea86fdbd7e2bf53c1	YES	IMPL
AC21	FIXTURE_DIVERGENCE_COUNT=0	4ec2c6631295adce73f98964e4e3754c6d89e39a0fe814df9767404cbff284fc	YES	IMPL
AC22	AUTHORITATIVE_SUBSTANTIVE_C_VERIFIERS=0	99bcf730d8f28904345a8a4ec3659a5a8409255fdfcb508b82e154c9bbcc5eb1	YES	IMPL
AC23	SHA256_SELFTEST_FAIL=0	805bc3fea621554290d71782108e52f25000187a2f5d79cc54911c8613890cbf	YES	IMPL
AC24	AC_ID_SHUFFLE_DETECTED=YES; PREDICATE_SHA_MISMATCH=0	ed1adc4dce2d9ff2927f01253899e9592dd41c20ab277a7fd1e3684515a5c81a	YES	IMPL
AC25	LEXER01_CONSERVATION=PASS	f610cddfb72f535e9411dd738f218d961ed48708e4cbccb76475e88467d7fde6	YES	IMPL
AC26	LEXER02_DIRECT_CONSERVATION=PASS	b388df0f23d999f2f233b300beb7580fda65eafa3d6ecbc848129f58d9f3279d	YES	IMPL
AC27	LEXER03_CONSERVATION=PASS	16a3e8f9636397f9c3e33e9addc7401942d83dbc3137ea3a2092ae0459688331	YES	IMPL
AC28	LEXER07_POST_REGRESSION<=6; LEXER07_NEW_FAILURES=0; LEXER08_BROAD_CORPUS=PASS; LEXER09_BROAD_CORPUS=PASS	d1ae8f58e8aeb519e604b559ec1b76780df6727c5eec9a751cff6de92a82672d	YES	IMPL
AC29	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0	8020231a0d8630e85c686faf79dd20ff6a4954d8c601dacb9dc7d243f143ee04	YES	IMPL
AC30	NEW_PYTHON_SOURCES=0; NEW_PYTHON_INVOCATIONS=0	997183ac58a535afaadf537dbc17889fa2b3990db9a3668d42457b9d7873ac37	YES	IMPL
AC31	CLOSED_EVIDENCE_DELTA=0; CLOSED_HANDOFF_DELTA=0	51ac9c1bd43ae63415f6bb322dd127da4ac0449138a7f2bc8c595fdfeb597324	YES	IMPL
AC32	C2_TO_C3_FROZEN=YES	310217ee0be12ff556a671a23bba79e2288cc2a4cb41a5cdf9498c9a053f243a	YES	IMPL
AC33	C3_PHASE_PURITY=PASS	79f48128ab08b21933823457ff0f82c0fdbb80da67e9d71eaa8f2533c454b136	YES	EVIDENCE
AC34	gate-fast=PASS; factory-append-only-test=PASS	4d7c6c5eae37017c24a7bc8d52abb76d279bf55fe880685324e4b70412d608fd	YES	EVIDENCE
