artifact	c2_frozen_sha256
ACT-POLYC-SELFHOST-LEXER04-CORRECTION03.md	see git rev
docs/acts/ACT-POLYC-SELFHOST-LEXER04-CORRECTION03.md	bb313cfe82c506a7844f29eb35d20af40f7a2cc6ff1fe7c09b45e53e48e830b5
evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION03/c1/c1-mandatory-ac-contract.tsv	77537965f5f1a3c9e349c4233767813966616aed7b11847b5b78b885b1fa5b64
evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION03/c1/c1-production-fixtures.tsv	9c14f02b1311b3b6dd05d514a968796a3e51a0ec35cd9ace8ab02f68b2696ffa
evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION03/c1/c1-semantic-schema.tsv	e683ff1f5376382fdf7226ab700634518f6411d0c5e8ec9d8c3227fc4b5dda50
src/lexer.c	4e083ce339aa27a11307a3102ce77a7eaca4ea4ada2b197793d9d752f68bd213
src/lexer_bridge.h	bb37451f0a57efd09d3dfd1e71a5ec194bb9df8a219212d9eac43c3fedaba1a0
tools/bootstrap/selfhost-lexer-link.HC	11dab368bc60a96edddaeb111f06314596fe58f2b656542ad2fc9cf7e8a39f75
tools/quality/lexer09-real-seam-runner.c	7b606d76d768fae2a180bfc7a1ad45a0acd86768a00ca4225b4db63a67496456
tools/quality/lexer09-4stage-semantic-verify.HC	936e4b5c617ec7d63cb089ed56c9229b77dd6a12937e54e17620cacc0df72aa6
tools/quality/lexer09-4stage-fixedpoint-verify.HC	42aea1110ac21714ecb24f63cc15c6ebe8ab843f1cc33cc0a149fcd36afd8824
tools/quality/lexer09-ac-ledger-verify.HC	e3e1b95179515deaf805afdde8ad30761794fbc4fd6020043a830c41756313b7
Makefile	5435491d3ee30d35b0f526696462100d92b63ae6bf9f2c173e3d58a94c6db334
