fixture_id	g0_lib	g0_path	g1_lib	g1_path	g2_lib	g2_path	g3_lib	g3_path	equivalent_gn
L01	[]	[foo.so]	[]	[foo.so]	[]	[foo.so]	[]	[foo.so]	YES
L02	[m]	[]	[m]	[]	[m]	[]	[m]	[]	YES
L03	[libb]	[liba.so]	[libb]	[liba.so]	[libb]	[liba.so]	[libb]	[liba.so]	YES
L04	[m1]	[]	[m1]	[]	[m1]	[]	[m1]	[]	YES
L05	[]	[x.so]	[]	[x.so]	[]	[x.so]	[]	[x.so]	YES
L06	[a,b]	[]	[a,b]	[]	[a,b]	[]	[a,b]	[]	YES
L07	[lib-complex_1co]	[]	[lib-complex_1.0]	[]	[lib-complex_1.0]	[]	[lib-complex_1.0]	[]	MIGRATION_DELTA
L08	[]	[./relative/path.so]	[]	[./relative/path.so]	[]	[./relative/path.so]	[]	[./relative/path.so]	YES
L09	[only]	[]	[only]	[]	[only]	[]	[only]	[]	YES
L10	[]	[]	[]	[]	[]	[]	[]	[]	YES
