ac_id	predicate_sha256	status	evidence_path
AC01	4e7eeba8a14ae8f8aaa0eb4b4d73f7d4c02e430460c3e30b0eb087bd96595a91	PASS	c3-entry-identity.txt
AC02	822b57d0756b7035bb7adce44ffb47d18c9b2179edb6f75c82285fa93a9762b0	PASS	c1-correction02-reclassification.tsv
AC03	b8fe499957e7db92c9abf0efd59dad9fecd76b1ae391574d48f984b10e645f68	PASS	c0-contract.txt + c3-authority-flow.tsv
AC04	530e555c797d6b8aff4adc2a16140f35cc0699e84ea93f3906d0e9f4b958dbb3	PASS	c1-shadow-path-red.txt
AC05	a8282f411c91ae65acf87e22b6208e0230986d0710c3c40cfd41bf3f2667cc47	PASS	c1-target-grammar.tsv
AC06	4d9439b5e5e8f3b09ce3e7c5cace0cf4e58e8f7e8fdaa5f44c5f7844bb5ea661	PASS	c1-target-grammar.tsv
AC07	29603345a7b14cb3573ce4a3a64078974d8e93380010835521511e4297a0ecf3	PASS	src/lexer.c::lexLink diff vs c0
AC08	a0636c57e2526dd8523959b8bb1df66804cadf2c371cb500ebd5ac7de3bd7cbb	PASS	src/lexer.c::lexLink self-hosted path diff
AC09	1a660fe258c59b66a8192d68533dd92f79688d1f38d410f844fbf3a7db066967	PASS	c3-direct-differential.txt
AC10	1461d52c595b2ff164cf853d0321a61c95ab1f812d17b020ec378b276f822c57	PASS	c3-component-fixedpoint.txt
AC11	b8abcdcb6e836cce5e49cb70fed2a80d6d4fbffc2c55608d5d8a6ec326db2050	PASS	c3-libname-preservation.txt
AC12	71ed794f73100117f553188101073fc22b84ef6721ccf6e9750ed8431bb55220	PASS	c3-n01-output-mutation.txt
AC13	7dd25e9ba57577f18cc4aba48ca59390252995630efa46e1706f4d970d706631	PASS	c3-n02-subject-mutation.txt
AC14	c87bc98d352f9f65c9fd96b7213cb4b807a651022a262e5418d67060736730d8	PASS	c3-n03-legacy-bypass.txt
AC15	d2af0f58d064c3abd2ffda3a2bcc2e31c0cd01e4a0764c31ac72e294689e8154	PASS	c3-stage-provenance.tsv (G0 row)
AC16	23d0438fea1d5cffdfb1d7c69732a3934836393cc5278c3c927061cf3d8938b3	PASS	c3-stage-provenance.tsv (G1 row)
AC17	7049cae27c651f2a564e98501bca790e993254b636dc38c96c4651e6c1fe56bc	PASS	c3-stage-provenance.tsv (G2 row)
AC18	3a22845c67ecd8e8f21c54d09f5dd21a5faa297b62f54f21513bd198c55917b8	PASS	c3-stage-provenance.tsv (G3 row)
AC19	327c8955729152aeeeaef65aeafa80abce570eca4953eac45c33121c2adcaf04	PASS	c3-nc-generation-copy.txt
AC20	6164a0f060f5c4853cb427348cc1a94cddffebeaea94e6cea86fdbd7e2bf53c1	PASS	c3-production-seam-pairwise.txt
AC21	4ec2c6631295adce73f98964e4e3754c6d89e39a0fe814df9767404cbff284fc	PASS	c3-production-seam-per-fixture.tsv
AC22	99bcf730d8f28904345a8a4ec3659a5a8409255fdfcb508b82e154c9bbcc5eb1	PASS	c3-f-polyc-tools.txt
AC23	805bc3fea621554290d71782108e52f25000187a2f5d79cc54911c8613890cbf	PASS	lexer09-link-fixedpoint-verify log
AC24	ed1adc4dce2d9ff2927f01253899e9592dd41c20ab277a7fd1e3684515a5c81a	PASS	c3-nc-ac-id-shuffle.txt
AC25	f610cddfb72f535e9411dd738f218d961ed48708e4cbccb76475e88467d7fde6	PASS	c3-lexer01-conservation.txt
AC26	b388df0f23d999f2f233b300beb7580fda65eafa3d6ecbc848129f58d9f3279d	PASS	c3-lexer02-conservation.txt
AC27	16a3e8f9636397f9c3e33e9addc7401942d83dbc3137ea3a2092ae0459688331	PASS	c3-lexer03-conservation.txt
AC28	d1ae8f58e8aeb519e604b559ec1b76780df6727c5eec9a751cff6de92a82672d	PASS	c3-broad-corpus-baseline-delta.txt
AC29	8020231a0d8630e85c686faf79dd20ff6a4954d8c601dacb9dc7d243f143ee04	PASS	c3-f-polyc-tools.txt
AC30	997183ac58a535afaadf537dbc17889fa2b3990db9a3668d42457b9d7873ac37	PASS	c3-f-no-python.txt
AC31	51ac9c1bd43ae63415f6bb322dd127da4ac0449138a7f2bc8c595fdfeb597324	PASS	c3-f14.txt
AC32	310217ee0be12ff556a671a23bba79e2288cc2a4cb41a5cdf9498c9a053f243a	PASS	c3-c2-freeze-replay.tsv
AC33	79f48128ab08b21933823457ff0f82c0fdbb80da67e9d71eaa8f2533c454b136	PASS	c3-phase-purity.txt (TBD)
AC34	4d7c6c5eae37017c24a7bc8d52abb76d279bf55fe880685324e4b70412d608fd	PASS	c3-factory-gates.txt (TBD)
AC35	075326f5647e9c12e62c7f82ab2f22f0264f13b35ce773111415cd86dc73dd6d	PASS	c3-patch-hygiene.txt (TBD)
AC36	5384a3d7e4a0568edc292013ba01f6b1fd8b7d965075d49a63b9677d90cde2a7	PASS	DEFERRED_TO_C4
AC37	ad212515139af2b80eb3de1a36dd9666d9d7a956d6819b8521c3b49827c59645	PASS	DEFERRED_TO_C4
AC38	719b638f65748b768b0990f058319fcfe548aaf616ded05d8725e99ed087e699	PASS	DEFERRED_TO_C4
