item	recorded_sha256	actual_sha256	match
ACT_BODY	0b196f7faf2f0a6b4bd6e1394602f8483a458d591f872ea3d9fdd58f45e78d89	0b196f7faf2f0a6b4bd6e1394602f8483a458d591f872ea3d9fdd58f45e78d89	YES
AC_CONTRACT	b77fd8c28a6f03a399579f00df6418fe3284f18e84dd86302e93803d27323c3e	b77fd8c28a6f03a399579f00df6418fe3284f18e84dd86302e93803d27323c3e	YES
WITNESS_CONTRACT	3ae8269847c8589cdca322f96fda58500cc34514a8418489416d9f841decccfe	3ae8269847c8589cdca322f96fda58500cc34514a8418489416d9f841decccfe	YES
MIGRATION_CONTRACT	b7ef1ff484a1c3b5994cb059a39045f1cf73d8e76c8a9bd2234d9cfe2ae20b49	b7ef1ff484a1c3b5994cb059a39045f1cf73d8e76c8a9bd2234d9cfe2ae20b49	YES
FIXTURE_CONTRACT	a3a03beab6c3d0bffb559d9cdc569d5485971ceed6151f4fb9405587bc2bb7f3	a3a03beab6c3d0bffb559d9cdc569d5485971ceed6151f4fb9405587bc2bb7f3	YES
QUALIFICATION_TOOL_AC_WITNESS	56709dade8937c3828c692ceb0431d1823594a4024737be04a7ecdd262fec51e	56709dade8937c3828c692ceb0431d1823594a4024737be04a7ecdd262fec51e	YES
QUALIFICATION_TOOL_N02_WITNESS	6056ba8d85360cf47c698cfdb97743700befa47ed039ab84b9365e0c009348b8	6056ba8d85360cf47c698cfdb97743700befa47ed039ab84b9365e0c009348b8	YES
QUALIFICATION_TOOL_SEMANTIC	e3f0dede489a2848cb4503dbc989deb10d9ab05e3bfa9b019d3fb6b0050b4136	e3f0dede489a2848cb4503dbc989deb10d9ab05e3bfa9b019d3fb6b0050b4136	YES
QUALIFICATION_TOOL_LEDGER	a391242ea31c100a465aa8b62659be8bf4b1d7580d2ab41733a887e96d29b866	a391242ea31c100a465aa8b62659be8bf4b1d7580d2ab41733a887e96d29b866	YES
MAKEFILE_QUALIFICATION_TARGETS	5435491d3ee30d35b0f526696462100d92b63ae6bf9f2c173e3d58a94c6db334	5435491d3ee30d35b0f526696462100d92b63ae6bf9f2c173e3d58a94c6db334	YES
PRODUCTION_SRC_LEXER	4e083ce339aa27a11307a3102ce77a7eaca4ea4ada2b197793d9d752f68bd213	4e083ce339aa27a11307a3102ce77a7eaca4ea4ada2b197793d9d752f68bd213	YES
PRODUCTION_SRC_BRIDGE	bb37451f0a57efd09d3dfd1e71a5ec194bb9df8a219212d9eac43c3fedaba1a0	bb37451f0a57efd09d3dfd1e71a5ec194bb9df8a219212d9eac43c3fedaba1a0	YES
PRODUCTION_SRC_SELFHOST	11dab368bc60a96edddaeb111f06314596fe58f2b656542ad2fc9cf7e8a39f75	11dab368bc60a96edddaeb111f06314596fe58f2b656542ad2fc9cf7e8a39f75	YES

C2_TO_C3_FROZEN=YES
C2_TO_C3_DRIFT=NO
