canonical_id	legacy_alias	human_name	input_sha256	authorized
L01	L01_single_qpath	#link "foo.so"	<see-evidence>	YES
L02	L02_single_angle	#link <m>	<see-evidence>	YES
L03	L03_multi_mixed	#link "liba.so"#link <libb>	<see-evidence>	YES
L04	L04_angle_dup	#link <m1>#link <m1>	<see-evidence>	YES
L05	L05_qpath_dup	#link "x.so"#link "x.so"	<see-evidence>	YES
L06	L06_back_to_back	#link "a.so"#link <b>	<see-evidence>	YES
L07	L07_angle_complex	#link <lib-complex_1.0>	<see-evidence>	YES
L08	L08_qpath_dots	#link "./relative/path.so"	<see-evidence>	YES
L09	L09_only_link	#link <only>	<see-evidence>	YES
L10	L10_no_directive	<no directive>	<see-evidence>	YES
