ac_id	exact_predicate	predicate_sha256	mandatory	phase
AC01	C0_AUTH_BEFORE_WORK=YES; WORKTREE_CLEAN_AT_C0=YES	4e7eeba8a14ae8f8aaa0eb4b4d73f7d4c02e430460c3e30b0eb087bd96595a91	YES	C3
AC02	ACT_BODY_COMPLETE=YES; ACT_BODY_PLACEHOLDER_SECTIONS=0	803df393c1fdd76b40bfcf35479f66e4e179fc1d0336bef0be6bcd69fa871710	YES	C3
AC03	CORRECTION04_HALT_REPRODUCED=YES; CORRECTION04_CONFIRMED_FAIL_COUNT=4	c60e8146189ce99223a728cce09d23b4d6dad28a0f9a80753323fda2523eb084	YES	C3
AC04	CORRECTION04_AC35=PASS	6a152b7918dde10469aec5aa83c3e2058fb9db50d2a45db2e8c30ba337b9d593	YES	C3
AC05	HISTORICAL_ADDENDUM_TOTAL_FAIL_RECORDED=5; MECHANICAL_CORRECTION04_FAIL_COUNT=4	312c90907f8311670c697b86a0304eeac7019712dcd342ff55528b5cc2545552	YES	C3
AC06	PRODUCTION_SOURCE_DELTA=0	22dbebc24a696995f2060a71ef850406bb635e9ed672d1c87b4e1de8b0ba8b3c	YES	C3
AC07	PRODUCTION_AUTHORITY_VERIFY=PASS	5bd949f0ee745415c2bf4b3c9a4e2a74ce16bdc3d2c6a9fd73f3fbd407922167	YES	C3
AC08	DIRECT_DIFFERENTIAL_FAIL=0	1a660fe258c59b66a8192d68533dd92f79688d1f38d410f844fbf3a7db066967	YES	C3
AC09	COMPONENT_PAIR_PASS=6; COMPONENT_PAIR_FAIL=0	1461d52c595b2ff164cf853d0321a61c95ab1f812d17b020ec378b276f822c57	YES	C3
AC10	POST_MIGRATION_PAIR_PASS=3; POST_MIGRATION_PAIR_FAIL=0	69ad3e739aa7aea10c54a844979093d74218b740b10f3083eb9714586e285446	YES	C3
AC11	EXPECTED_MIGRATION_FIXTURE_SET=L07; OBSERVED_MIGRATION_FIXTURE_SET=L07	6c54788dd67da374eb6d2ccf5571411423515e450537909690c7bbd2878d11f7	YES	C3
AC12	UNKNOWN_FIXTURE_ALIAS=0; DUPLICATE_CANONICAL_ID=0	3e5d19cfed3347e2ba44ddb55171f374ff88f0cbcc5b82d63d3fcd9dc5c49877	YES	C3
AC13	FIXTURE_ALIAS_CONTROL_REJECTED=YES	d3d93f930527dcfeadb3e24422828caaa8afabf168cd0ec236c027c41378b864	YES	C3
AC14	NON_MIGRATION_G0_DIVERGENCE_COUNT=0; G0_UNEXPECTED_MIGRATION_PAIR_COUNT=0	1a19dd9fcce046fef4a368c43139fb2f304d7122f67c9e8adcc3c277dc74e941	YES	C3
AC15	L07_G0=lib-complex_1co; L07_G1=lib-complex_1.0; L07_G2=lib-complex_1.0; L07_G3=lib-complex_1.0	e000983b3720b5388bfa8af3b24a04f9adcc748379ed0b3417cb38ab5eed0165	YES	C3
AC16	SEMANTIC_OUTPUT_MUTATION_DETECTED=YES	71ed794f73100117f553188101073fc22b84ef6721ccf6e9750ed8431bb55220	YES	C3
AC17	N02_ORCHESTRATION_AUTHORITY=POLYC; N02_SHELL_DISPATCH_ONLY=YES; N02_SHELL_LOC_LE_50=YES	9ae65063742593e9f49d67f5b2221048a820bfe5443e550fa419c59398da0756	YES	C3
AC18	MUTATED_COMPONENT_BUILD_RC=0; MUTATED_SEAM_LINK_RC=0; MUTATED_SEAM_RUN_RC=0	dfe175d355ea67b09c67abd08147c7114f6477996579546daa3050bcc40df646	YES	C3
AC19	MUTATED_COMPONENT_SHA_NONEMPTY=YES; MUTATED_COMPONENT_SHA_DIFFERS=YES; MUTATED_SEAM_SHA_NONEMPTY=YES	252c622699e8e303e84767009dd5b1b1bf1cf0993846ebeda0d71df4c0b141d9	YES	C3
AC20	MUTATED_PRODUCTION_DIVERGENCE_DETECTED=YES; UNEXPECTED_MUTATION_DIVERGENCE_COUNT=0	d628ef346512efab03f84ec399d40da39df1db64cafbd93b6f4ff7c337f61d99	YES	C3
AC21	N02_INCOMPLETE_WITNESS_REJECTED=YES	51b22e7b46a3274c0692410db1a2bef26ba2da980e850084d25064701929e793	YES	C3
AC22	PROVENANCE_ROW_PASS=4; PROVENANCE_ROW_FAIL=0	05811ddef318cc88f50859a9ccbe527c863699ca8cc9bd6d9f44a6fce01b2432	YES	C3
AC23	GENERATION_COPY_CONTROL_EXECUTED=YES; GENERATION_COPY_DETECTED=YES; GENERATION_COPY_VERIFIER_RC_NONZERO=YES	f18206478252213dfe4fe62c34d5be20c49a9af4ac1e0f250938802b0e09bcea	YES	C3
AC24	TOKEN_SCHEMA_DUPLICATES=0; WITNESS_KEYS_WITHOUT_SCHEMA=0; TOKEN_SCHEMA_PRODUCER_CONSUMER_DRIFT=0	0dd42ff7d44208378701b526a7938cd291108d79166b2ee01b5cd842761e3233	YES	C3
AC25	WITNESS_FAIL=0; WITNESS_MISSING=0	bdc0463cf0205312981bc1fd191d2ad3bf2de1ae4e4d67a1f21f1b462bf469a4	YES	C3
AC26	WITNESS_MISSING_CONTROL_DETECTED=YES	7df6e92bd849d3e6050569817e5122dccdf394d649619f34575fa7ab07a00436	YES	C3
AC27	WITNESS_VALUE_CONTROL_DETECTED=YES	a2b27f187da19eaa02d6e034a576401a9941ee6d7917af7edc87c7dacfb2a108	YES	C3
AC28	AC_ID_SHUFFLE_DETECTED=YES	b5f87ffce42ef3b539d4ce68b948e3d8c2d6738b9ecd8d14caf3019872907fa1	YES	C3
AC29	EVIDENCE_SHA_MUTATION_DETECTED=YES	6e097473d42d7ded7081cce7211dcc32ff353fc05e704619224979d7dfc90f60	YES	C3
AC30	PREDICATE_LIE_DETECTED=YES	ac6e9c8331850193f85c00d8f61c9f2c518a1888e04c6b4ec8f9183074a1fadd	YES	C3
AC31	LEXER01_CONSERVATION=PASS	f610cddfb72f535e9411dd738f218d961ed48708e4cbccb76475e88467d7fde6	YES	C3
AC32	LEXER02_DIRECT_CONSERVATION=PASS	b388df0f23d999f2f233b300beb7580fda65eafa3d6ecbc848129f58d9f3279d	YES	C3
AC33	LEXER03_CONSERVATION=PASS	16a3e8f9636397f9c3e33e9addc7401942d83dbc3137ea3a2092ae0459688331	YES	C3
AC34	LEXER07_NEW_FAILURES=0; LEXER08_BROAD_CORPUS=PASS; LEXER09_BROAD_CORPUS=PASS	db2fbf55e6daab2839823338955b5658978abe17011af818f731aeced31929eb	YES	C3
AC35	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0	8020231a0d8630e85c686faf79dd20ff6a4954d8c601dacb9dc7d243f143ee04	YES	C3
AC36	NEW_PYTHON_SOURCES=0; NEW_PYTHON_INVOCATIONS=0	997183ac58a535afaadf537dbc17889fa2b3990db9a3668d42457b9d7873ac37	YES	C3
AC37	CLOSED_EVIDENCE_DELTA=0; CLOSED_HANDOFF_DELTA=0	51ac9c1bd43ae63415f6bb322dd127da4ac0449138a7f2bc8c595fdfeb597324	YES	C3
AC38	C2_TO_C3_FROZEN=YES	310217ee0be12ff556a671a23bba79e2288cc2a4cb41a5cdf9498c9a053f243a	YES	C3
AC39	C3_PHASE_PURITY=PASS	79f48128ab08b21933823457ff0f82c0fdbb80da67e9d71eaa8f2533c454b136	YES	C3
AC40	GATE_FAST=PASS; APPEND_ONLY_FAIL=0	34ef8c489c6c352e7d1ab6a463f6fc45dc7913107bb7070b24ad34042abfa884	YES	C3
AC41	PATCH_HYGIENE_ERRORS=0	6b02ab623008dfb0903875e03ba422b8aad215160ca77df730449050f6fb68c5	YES	C3
AC42	CORRECTION05_COMMIT_COUNT=5; C0_C1_C2_C3_C4_ORDER=YES	c20be165276c7ae80bf26f09aee6af73ac3d6c264cc7ade118040eb9068f1db8	YES	C4
AC43	WORKTREE_CLEAN_AFTER_C4=YES	ad212515139af2b80eb3de1a36dd9666d9d7a956d6819b8521c3b49827c59645	YES	C4
AC44	POST_C4_COMMIT_COUNT=0	719b638f65748b768b0990f058319fcfe548aaf616ded05d8725e99ed087e699	YES	C4
