AC_ID	WITNESS_ID	EVIDENCE_PATH	TOKEN	REPLACEMENT_STRATEGY	RAW_SOURCE
AC06	w10	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-production-source-delta.txt	PRODUCTION_SOURCE_DELTA	DERIVED_FROM_C3_FIXTURE_ID_MAP_VERIFY	/tmp/lexer09-4stage-semantic/semantic.g0.txt
AC07	w11	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-production-authority.txt	PRODUCTION_AUTHORITY_VERIFY	RUN_PRODUCTION_AUTHORITY_VERIFY	tools/quality/lexer09-production-authority-verify
AC08	w12	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-direct-differential.txt	DIRECT_DIFFERENTIAL_FAIL	RUN_DIRECT_DIFFERENTIAL	tools/quality/lexer09-direct-differential
AC09	w13	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-component-fixedpoint.txt	COMPONENT_PAIR_PASS	RUN_COMPONENT_FIXEDPOINT	tools/quality/lexer09-component-fixedpoint
AC09	w14	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-component-fixedpoint.txt	COMPONENT_PAIR_FAIL	RUN_COMPONENT_FIXEDPOINT	tools/quality/lexer09-component-fixedpoint
AC10	w15	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-postmigration.txt	POST_MIGRATION_PAIR_PASS	RUN_SEMANTIC_POSTMIGRATION	tools/quality/lexer09-4stage-semantic-verify
AC10	w16	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-postmigration.txt	POST_MIGRATION_PAIR_FAIL	RUN_SEMANTIC_POSTMIGRATION	tools/quality/lexer09-4stage-semantic-verify
AC11	w17	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-postmigration.txt	EXPECTED_MIGRATION_FIXTURE_SET	RUN_SEMANTIC_POSTMIGRATION	tools/quality/lexer09-4stage-semantic-verify
AC11	w18	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-postmigration.txt	OBSERVED_MIGRATION_FIXTURE_SET	RUN_SEMANTIC_POSTMIGRATION	tools/quality/lexer09-4stage-semantic-verify
AC12	w19	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-fixture-id-map-verify.txt	UNKNOWN_FIXTURE_ALIAS	RUN_FIXTURE_ID_MAP_VERIFY	tools/quality/lexer09-4stage-semantic-verify
AC12	w20	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-fixture-id-map-verify.txt	DUPLICATE_CANONICAL_ID	RUN_FIXTURE_ID_MAP_VERIFY	tools/quality/lexer09-4stage-semantic-verify
AC13	w21	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-fixture-alias-control.txt	FIXTURE_ALIAS_CONTROL_REJECTED	RUN_FIXTURE_ALIAS_CONTROL	tools/quality/lexer09-4stage-semantic-verify argv[5/6]
AC14	w22	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-g0-delta.txt	NON_MIGRATION_G0_DIVERGENCE_COUNT	RUN_SEMANTIC_G0_DELTA	/tmp/lexer09-4stage-semantic/semantic.g0.txt vs g[123]
AC14	w23	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-g0-delta.txt	G0_UNEXPECTED_MIGRATION_PAIR_COUNT	RUN_SEMANTIC_G0_DELTA	/tmp/lexer09-4stage-semantic/semantic.g0.txt vs g[123]
AC15	w24	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-per-fixture.tsv	L07_G0	RUN_SEMANTIC_PER_FIXTURE	tools/quality/lexer09-4stage-semantic-verify
AC15	w25	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-per-fixture.tsv	L07_G1	RUN_SEMANTIC_PER_FIXTURE	tools/quality/lexer09-4stage-semantic-verify
AC15	w26	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-per-fixture.tsv	L07_G2	RUN_SEMANTIC_PER_FIXTURE	tools/quality/lexer09-4stage-semantic-verify
AC15	w27	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-semantic-per-fixture.tsv	L07_G3	RUN_SEMANTIC_PER_FIXTURE	tools/quality/lexer09-4stage-semantic-verify
AC16	w28	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n01-output-mutation.txt	SEMANTIC_OUTPUT_MUTATION_DETECTED	RUN_N01_OUTPUT_MUTATION	tools/quality/lexer09-n01-output-mutation-runner
AC17	w29	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-shell-authority.txt	N02_ORCHESTRATION_AUTHORITY	RUN_N02_SHELL_AUTHORITY	scripts/quality/lexer09-n02-mutation-runner.sh + wc -l
AC17	w30	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-shell-authority.txt	N02_SHELL_DISPATCH_ONLY	RUN_N02_SHELL_AUTHORITY	scripts/quality/lexer09-n02-mutation-runner.sh + wc -l
AC17	w31	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-shell-authority.txt	N02_SHELL_LOC_LE_50	RUN_N02_SHELL_AUTHORITY	scripts/quality/lexer09-n02-mutation-runner.sh + wc -l
AC18	w32	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	MUTATED_COMPONENT_BUILD_RC	RUN_N02_PRODUCTION_CAUSAL	tools/quality/lexer09-n02-mutation-runner
AC18	w33	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	MUTATED_SEAM_LINK_RC	RUN_N02_PRODUCTION_CAUSAL	tools/quality/lexer09-n02-mutation-runner
AC18	w34	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	MUTATED_SEAM_RUN_RC	RUN_N02_PRODUCTION_CAUSAL	tools/quality/lexer09-n02-mutation-runner
AC19	w35	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	MUTATED_COMPONENT_SHA_NONEMPTY	RUN_N02_PRODUCTION_CAUSAL	tools/quality/lexer09-n02-mutation-runner
AC19	w36	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	MUTATED_COMPONENT_SHA_DIFFERS	RUN_N02_PRODUCTION_CAUSAL	tools/quality/lexer09-n02-mutation-runner
AC19	w37	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	MUTATED_SEAM_SHA_NONEMPTY	RUN_N02_PRODUCTION_CAUSAL	tools/quality/lexer09-n02-mutation-runner
AC20	w38	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	MUTATED_PRODUCTION_DIVERGENCE_DETECTED	RUN_N02_PRODUCTION_CAUSAL	tools/quality/lexer09-n02-mutation-runner
AC20	w39	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-production-causal-control.txt	UNEXPECTED_MUTATION_DIVERGENCE_COUNT	RUN_N02_PRODUCTION_CAUSAL	tools/quality/lexer09-n02-mutation-runner
AC21	w40	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-n02-incomplete-witness.txt	N02_INCOMPLETE_WITNESS_REJECTED	RUN_N02_INCOMPLETE_WITNESS	tools/quality/lexer09-n02-incomplete-witness
AC22	w41	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-provenance.tsv	PROVENANCE_ROW_PASS	RUN_GENERATION_PROVENANCE	shasum over seam outputs
AC22	w42	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-provenance.tsv	PROVENANCE_ROW_FAIL	RUN_GENERATION_PROVENANCE	shasum over seam outputs
AC23	w43	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-copy-control.txt	GENERATION_COPY_CONTROL_EXECUTED	RUN_GENERATION_COPY_CONTROL	diff /tmp/lexer09-seam/migration.*.txt
AC23	w44	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-copy-control.txt	GENERATION_COPY_DETECTED	RUN_GENERATION_COPY_CONTROL	diff /tmp/lexer09-seam/migration.*.txt
AC23	w45	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-generation-copy-control.txt	GENERATION_COPY_VERIFIER_RC_NONZERO	RUN_GENERATION_COPY_CONTROL	diff /tmp/lexer09-seam/migration.*.txt
AC24	w46	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-token-schema-verify.txt	TOKEN_SCHEMA_DUPLICATES	RUN_TOKEN_SCHEMA_VERIFY	./build/lexer09-token-schema-verify
AC24	w47	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-token-schema-verify.txt	WITNESS_KEYS_WITHOUT_SCHEMA	RUN_TOKEN_SCHEMA_VERIFY	./build/lexer09-token-schema-verify
