field	value	evidence
ACT_ID	ACT-POLYC-SELFHOST-PARSER-PADDING-DELEGATE01	ACT body
SUBJECT_FILE	tools/bootstrap/selfhost-parser-padding.HC	ACT §3 / §7
SUBJECT_SHA256	b555b76b484edda5830abba46dbda803a12ec1834f9ab0a64763f5899f2452f3	sha256sum at C0 entry
SUBJECT_LINES	49	wc -l at C0 entry
QUALIFIED_VERIFIER_FILE	tools/quality/parser-padding-algebraic-invariants.HC	ACT §7
QUALIFIED_VERIFIER_SHA256	bb4c710ef0442b6c6b97afba46be7652dde507a96de7623f58425ff76007cecc	sha256sum at C0 entry
QUALIFIED_PROVENANCE_FILE	tools/quality/parser-padding-generation-provenance-verify.HC	ACT §7
QUALIFIED_PROVENANCE_SHA256	06bb95d2ccb60e34377f16ec4037e922dd99fecef60744030dc14b58d5713ac3	sha256sum at C0 entry
LEGACY_ORACLE_FILE	tools/quality/parser-padding-oracle-impl.c	ACT §7
LEGACY_ORACLE_SHA256	42fd18c72dd8159caab0c89d09ce8f2950f2964c7fa4bae89199213a5073b536	sha256sum at C0 entry
SUBJECT_OBJECT_FILE	build/parser-padding-subject.o	Makefile §2290-2320
SUBJECT_OBJECT_SHA256	(observed at C0; recorded in c1-subject-build.txt)	nm | grep
SUBJECT_SYMBOL	_BootstrapCalcPadding	nm at C0 entry
SUBJECT_STATE_QUALIFIED	GREEN	corpus / fixedpoint evidence
PRODUCTION_CALL_SITES	5 (in src/parser.c)	grep -n 'CalcPadding' src/parser.c (excludes definition + comments + wrapper)
PRODUCTION_OWNER_AT_ENTRY	src/parser.c::CalcPadding	greppable
QUALIFIED_DELTA_REQUIRED_AT_C3	BOOTSTRAP_CALC_PADDING_SOURCE_DELTA=0	ACT §7
