subject	path	sha256	role
BootstrapCalcPadding source	tools/bootstrap/selfhost-parser-padding.HC	b555b76b484edda5830abba46dbda803a12ec1834f9ab0a64763f5899f2452f3	AC18 / differential subject
parser-padding differential	tools/quality/parser-padding-differential.HC	3f1d9bfbddab2d1e44b4f60315c38dc5c1e04eb821085a9353ff45d237fb6dd0	direct differential tool
parser-padding oracle (current copy)	tools/quality/parser-padding-oracle-impl.c	d481be45b706d735df605ecaed248501a725c2b3d94469a4f77b36a6f52e2d21	C2 will replace with seam call
parser-padding fixedpoint verifier	tools/quality/parser-padding-fixedpoint-verify.HC	72e00e4a4d89e6e5e8620aff08fdb1dde8cd5a23358dbd4e62745d74f8d44b80	AC27/AC28 byte fixedpoint
parser-padding mutation M1	tools/quality/parser-padding-mutation-m1.HC	db7cec594bd96a4a0a62d3717c2c15c463cad116e33384cc576395a49ba821dc	AC20
parser-padding mutation M2	tools/quality/parser-padding-mutation-m2.HC	2a40063bcef29a68830855102aa276128bcfded4e574707d5d4608992cf483e4	AC21
parser-padding mutation M3	tools/quality/parser-padding-mutation-m3.HC	78193391522fe3e01c5837629031be812cc087da636713aeaa9108ef4428e7f2	AC22
parser-padding mutation M4	tools/quality/parser-padding-mutation-m4.HC	72a9e0dcbc8d71a5022d0e926edd433267fc73dfaccf8e663cb54bb127a45970	AC23
legacy parser (CalcPadding host)	src/parser.c	7a4a0935ae5fc92fb37dc637037a83c70c21a81ebe9a1233c69fd6529bc1a279	C30/C31/C32 production authority
lexer source (conservation subject)	src/lexer.c	4e083ce339aa27a11307a3102ce77a7eaca4ea4ada2b197793d9d752f68bd213	AC35..AC39 conservation subject
makefile	Makefile	166dce9e06d21d0b9dfd27bcaa067612601cd7cbcc7b5bef07f0f78020f7d723	gate wiring
named-fixture-source	evidence/ACT-POLYC-SELFHOST-PARSER-PADDING01/c3/c3-source-identities.tsv	fd1fdf68315f4b2bdade7903ef5023bfd71bed02	committed predecessor substrate index (named fixtures, bounded matrix)
bounded-matrix-config	tools/quality/parser-padding-gen-matrix-fixture.HC	95f7af6ca683ade6756f68b839457cc41d3738d7d40161337a447761f10f6dd9	bounded matrix generator (offset 0..255, size 0..64)
large-value-config	tools/quality/parser-padding-gen-large-fixture.HC	6a0aec02b90204220f3ad34142b268f8682b4ba6eac48d43208c1f88b489b7a5	large-value corpus
