field_kind	field_name	required	notes
required	generation	yes	G0|G1|G2|G3 fixedpoint generation label
required	compiler_path	yes	path to compiler binary used for the build
required	compiler_sha256	yes	sha256 of compiler binary bytes
required	source_path	yes	path to source compiled (e.g. tools/bootstrap/selfhost-parser-padding.HC)
required	source_sha256	yes	sha256 of source bytes at compile time
required	command_line	yes	exact command line used to compile
required	command_sha256	yes	sha256 of normalized command line string
required	object_path	yes	path to the produced object
required	object_sha256	yes	sha256 of object bytes
required	object_size	yes	object size in bytes
required	fresh_build_record	yes	path to a generation-specific record written before compile
required	fresh_build_record_sha256	yes	sha256 of fresh_build_record contents
observational	mtime	no	wall-clock mtime (informational; not load-bearing)
observational	ctime	no	ctime where available (informational; not load-bearing)
