# c2-baseline-provenance.tsv
# ACT-POLYC-SELFHOST-PARSER-PADDING01-CORRECTION02 C2
#
# Branch B (HISTORICAL_BASELINE_RECONSTRUCTIBLE=NO) selected per C1.
# Prospective baseline authority established from TWO clean runs
# (RUN_A, RUN_B) of the canonical LEXER07 corpus.
#
# Schema (tab-separated):
#   artifact\tproducer_path\tproducer_sha256\tcompiler_path\tcompiler_sha256\tinput_path\tinput_sha256\tcommand\tcommand_sha256\toutput_path\toutput_sha256\toutput_size

artifact	producer_path	producer_sha256	compiler_path	compiler_sha256	input_path	input_sha256	command	command_sha256	output_path	output_sha256	output_size
corpus-matrix.tsv_a	tools/quality/lexer07-broad-corpus-4-stage.HC	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	N/A (uses hcc + hcc-bootstrap02/03/04)	daac3b43680a0edb131decaf2745dc8e2bb09d9b42bd34cd58f53270c48c60fe (hcc)	evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt	(unchanged from committed)	./build/lexer07-broad-corpus-4-stage evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt build/correction02-lexer07-baseline-a	0aa2315e0d8f4680583ecd1425b236ebd75e7ce6c0fe9f6233853cd9f206b519	build/correction02-lexer07-baseline-a/corpus-matrix.tsv	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	63076
corpus-failures.tsv_a	tools/quality/lexer07-broad-corpus-4-stage.HC	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	N/A	daac3b43680a0edb131decaf2745dc8e2bb09d9b42bd34cd58f53270c48c60fe (hcc)	evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt	(unchanged)	./build/lexer07-broad-corpus-4-stage evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt build/correction02-lexer07-baseline-a	0aa2315e0d8f4680583ecd1425b236ebd75e7ce6c0fe9f6233853cd9f206b519	build/correction02-lexer07-baseline-a/corpus-failures.tsv	9d8ce2e090a47619a1496df76d2f1efbde47f60f997fc8ad4182f21cf125a29a	1126
corpus-object-provenance.tsv_a	tools/quality/lexer07-broad-corpus-4-stage.HC	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	N/A	daac3b43680a0edb131decaf2745dc8e2bb09d9b42bd34cd58f53270c48c60fe (hcc)	evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt	(unchanged)	./build/lexer07-broad-corpus-4-stage evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt build/correction02-lexer07-baseline-a	0aa2315e0d8f4680583ecd1425b236ebd75e7ce6c0fe9f6233853cd9f206b519	build/correction02-lexer07-baseline-a/corpus-object-provenance.tsv	7cdf8016b7aceef4f3f244c942430f02452fa8138061d4fa7d246e88813b1c42	185868
corpus-matrix.tsv_b	tools/quality/lexer07-broad-corpus-4-stage.HC	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	N/A	daac3b43680a0edb131decaf2745dc8e2bb09d9b42bd34cd58f53270c48c60fe (hcc)	evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt	(unchanged)	./build/lexer07-broad-corpus-4-stage evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt build/correction02-lexer07-baseline-b	0aa2315e0d8f4680583ecd1425b236ebd75e7ce6c0fe9f6233853cd9f206b519	build/correction02-lexer07-baseline-b/corpus-matrix.tsv	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	63076
corpus-failures.tsv_b	tools/quality/lexer07-broad-corpus-4-stage.HC	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	N/A	daac3b43680a0edb131decaf2745dc8e2bb09d9b42bd34cd58f53270c48c60fe (hcc)	evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt	(unchanged)	./build/lexer07-broad-corpus-4-stage evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt build/correction02-lexer07-baseline-b	0aa2315e0d8f4680583ecd1425b236ebd75e7ce6c0fe9f6233853cd9f206b519	build/correction02-lexer07-baseline-b/corpus-failures.tsv	9d8ce2e090a47619a1496df76d2f1efbde47f60f997fc8ad4182f21cf125a29a	1126
corpus-object-provenance.tsv_b	tools/quality/lexer07-broad-corpus-4-stage.HC	ee83e375032cf3f39ad8d95838bdd5e4f601fdac3244b7298cf2f68083d3c4fd	N/A	daac3b43680a0edb131decaf2745dc8e2bb09d9b42bd34cd58f53270c48c60fe (hcc)	evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt	(unchanged)	./build/lexer07-broad-corpus-4-stage evidence/ACT-POLYC-SELFHOST-LEXER01/c2/corpus-inventory.txt build/correction02-lexer07-baseline-b	0aa2315e0d8f4680583ecd1425b236ebd75e7ce6c0fe9f6233853cd9f206b519	build/correction02-lexer07-baseline-b/corpus-object-provenance.tsv	7cdf8016b7aceef4f3f244c942430f02452fa8138061d4fa7d246e88813b1c42	185868

# Combined prospective baseline identity (sha256 of the three output SHAs):
PROSPECTIVE_LEXER07_BASELINE_SHA256=00c54408bf29237cf526aeed097f6b097f22ae682683675a0bf5ab9f9c202b9a

# Note on producer_path:
# The PolyC source for the broad-corpus tool is tools/quality/lexer07-broad-corpus-4-stage.HC
# but the producer that ran is its compiled binary build/lexer07-broad-corpus-4-stage.
# The compiled binary's own sha256 is reproducible from the source but is not
# separately captured here because the source + tool invocation are sufficient
# provenance per Factory v2 doctrine.

# Counter set (the 14-token summary line printed at end of run):
BASELINE_COUNTER_SET_A_SHA256=0aa2315e0d8f4680583ecd1425b236ebd75e7ce6c0fe9f6233853cd9f206b519
BASELINE_COUNTER_SET_B_SHA256=0aa2315e0d8f4680583ecd1425b236ebd75e7ce6c0fe9f6233853cd9f206b519
BASELINE_COUNTER_SET_TEXT=PASS_S0=166 HISTORICAL_S0=0 PASS_S1=175 PASS_S2=175 PASS_S3=175
