case_id	classes	offset	size	expected_padding
FX001	ALIGNED|ZERO_OFFSET|SIZE_ONE|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	0	1	0
FX002	ALIGNED|ZERO_OFFSET|POWER_OF_TWO_SIZE	0	2	0
FX003	ALIGNED|ZERO_OFFSET|ODD_SIZE|NON_POWER_OF_TWO_SIZE	0	3	0
FX004	ALIGNED|ZERO_OFFSET|POWER_OF_TWO_SIZE	0	4	0
FX005	ALIGNED|ZERO_OFFSET|ODD_SIZE|NON_POWER_OF_TWO_SIZE	0	5	0
FX006	ALIGNED|ZERO_OFFSET|NON_POWER_OF_TWO_SIZE	0	6	0
FX007	ALIGNED|ZERO_OFFSET|ODD_SIZE|NON_POWER_OF_TWO_SIZE	0	7	0
FX008	ALIGNED|ZERO_OFFSET|POWER_OF_TWO_SIZE	0	8	0
FX009	ALIGNED|SIZE_ONE|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	1	1	0
FX010	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_ONE|REMAINDER_SIZE_MINUS_ONE	1	2	1
FX011	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_ONE	1	3	2
FX012	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_ONE	1	4	3
FX013	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_ONE	1	5	4
FX014	UNALIGNED|NON_POWER_OF_TWO_SIZE|REMAINDER_ONE	1	6	5
FX015	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_ONE	1	7	6
FX016	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_ONE	1	8	7
FX017	ALIGNED|SIZE_ONE|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	2	1	0
FX018	ALIGNED|POWER_OF_TWO_SIZE	2	2	0
FX019	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	2	3	1
FX020	UNALIGNED|POWER_OF_TWO_SIZE	2	4	2
FX021	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	2	5	3
FX022	UNALIGNED|NON_POWER_OF_TWO_SIZE	2	6	4
FX023	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	2	7	5
FX024	UNALIGNED|POWER_OF_TWO_SIZE	2	8	6
FX025	ALIGNED|SIZE_ONE|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	3	1	0
FX026	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_ONE|REMAINDER_SIZE_MINUS_ONE	3	2	1
FX027	ALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	3	3	0
FX028	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	3	4	1
FX029	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	3	5	2
FX030	UNALIGNED|NON_POWER_OF_TWO_SIZE	3	6	3
FX031	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	3	7	4
FX032	UNALIGNED|POWER_OF_TWO_SIZE	3	8	5
FX033	ALIGNED|SIZE_ONE|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	4	1	0
FX034	ALIGNED|POWER_OF_TWO_SIZE	4	2	0
FX035	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_ONE	4	3	2
FX036	ALIGNED|POWER_OF_TWO_SIZE	4	4	0
FX037	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	4	5	1
FX038	UNALIGNED|NON_POWER_OF_TWO_SIZE	4	6	2
FX039	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	4	7	3
FX040	UNALIGNED|POWER_OF_TWO_SIZE	4	8	4
FX041	ALIGNED|SIZE_ONE|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	5	1	0
FX042	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_ONE|REMAINDER_SIZE_MINUS_ONE	5	2	1
FX043	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	5	3	1
FX044	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_ONE	5	4	3
FX045	ALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	5	5	0
FX046	UNALIGNED|NON_POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	5	6	1
FX047	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	5	7	2
FX048	UNALIGNED|POWER_OF_TWO_SIZE	5	8	3
FX049	ALIGNED|SIZE_ONE|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	6	1	0
FX050	ALIGNED|POWER_OF_TWO_SIZE	6	2	0
FX051	ALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	6	3	0
FX052	UNALIGNED|POWER_OF_TWO_SIZE	6	4	2
FX053	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_ONE	6	5	4
FX054	ALIGNED|NON_POWER_OF_TWO_SIZE	6	6	0
FX055	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	6	7	1
FX056	UNALIGNED|POWER_OF_TWO_SIZE	6	8	2
FX057	ALIGNED|SIZE_ONE|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	7	1	0
FX058	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_ONE|REMAINDER_SIZE_MINUS_ONE	7	2	1
FX059	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE|REMAINDER_ONE	7	3	2
FX060	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	7	4	1
FX061	UNALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	7	5	3
FX062	UNALIGNED|NON_POWER_OF_TWO_SIZE|REMAINDER_ONE	7	6	5
FX063	ALIGNED|ODD_SIZE|NON_POWER_OF_TWO_SIZE	7	7	0
FX064	UNALIGNED|POWER_OF_TWO_SIZE|REMAINDER_SIZE_MINUS_ONE	7	8	1
