ac_id	predicate	status	evidence_path	witness	evidence_sha256	notes
AC01	WORKTREE_CLEAN_AT_C0=YES	PASS	c3/c3-entry-identity.txt	git_status_clean_at_C0	see_c3_entry_identity	C0 captured clean tree
AC02	C0_AUTH_BEFORE_WORK=YES	PASS	c0/c0-scope.txt	c0_evidence_only	see_c0_scope	ACT doc before any other file
AC03	PREDECESSOR_SELECTION_MATCH=YES	PASS	c0/c0-predecessor-binding.txt	PARSER-SLICE-RECON01 NEXT_ACT_ID match	see_c0_predecessor	CAND-002 frozen
AC04	SELECTED_SOURCE_REGION_MATCH=YES	PASS	c1/c1-legacy-source-identity.txt	src/parser.c:430..438 sha256 frozen	7a4a0935ae5fc92fb37dc637037a83c70c21a81ebe9a1233c69fd6529bc1a279	CalcPadding body unchanged
AC05	RED_SUBJECT_ABSENT=PASS	PASS	c1/c1-red-subject-absent.txt	test_rc=1	see_c1_red_subject_absent	Pre-C2 subject absent
AC06	RED_ABI_ABSENT=PASS	PASS	c1/c1-red-abi-absent.txt	git_grep_rc=1	see_c1_red_abi_absent	0 references
AC07	RED_LEGACY_AUTHORITY_ACTIVE=PASS	PASS	c1/c1-red-legacy-authority.txt	5_CallPadding_call_sites_unchanged	see_c1_red_legacy_authority	legacy path active
AC08	RED_DIRECT_DIFFERENTIAL_ABSENT=PASS	PASS	c1/c1-red-differential-absent.txt	test_rc=1	see_c1_red_diff_absent	pre-C2 binary absent
AC09	RED_FIXEDPOINT_EVIDENCE_ABSENT=PASS	PASS	c1/c1-red-fixedpoint-absent.txt	test_rc=1	see_c1_red_fp_absent	pre-C2 binary absent
AC10	LEGACY_BASELINE_FROZEN=YES	PASS	c1/c1-legacy-baseline.txt	math_contract_text_frozen	see_c1_legacy_baseline	zero/size/aligned/unaligned branches frozen
AC11	ABI exact I64 BootstrapCalcPadding(I64 offset, I64 size)	PASS	c3/c3-source-identities.tsv	subject file	subject_sha=b555b76b	exact signature match
AC12	ABI_HOST_IDENTITY_FIELDS=0	PASS	c3/c3-source-identities.tsv	subject_only_two_I64_params	subject_sha=b555b76b	no host pointer fields
AC13	SUBJECT_EXTERNAL_DEPENDENCY_COUNT=0 SUBJECT_GLOBAL_MUTABLE_STATE=0 SUBJECT_ALLOCATION_COUNT=0	PASS	c3/c3-source-identities.tsv	subject_only_arithmetic	subject_sha=b555b76b	pure function
AC14	NAMED_FIXTURE_FAIL=0	PASS	c3/c3-direct-differential-named.txt	277/277 PASS	see_c3_diff_named	all named fixtures pass
AC15	BOUNDED_MATRIX_TOTAL=16640 BOUNDED_MATRIX_FAIL=0	PASS	c3/c3-direct-differential-matrix.txt	16640/16640 PASS	see_c3_diff_matrix	exhaustive offset 0..255 size 0..64
AC16	LARGE_VALUE_CASES>=24 LARGE_VALUE_FAIL=0	PASS	c3/c3-direct-differential-large.txt	64/64 PASS	see_c3_diff_large	8 offsets x 8 sizes
AC17	DIRECT_DIFFERENTIAL_FAIL=0	PASS	c3/c3-direct-differential-matrix.txt	0 failures	see_c3_diff_matrix	terminal differential verdict
AC18	ALGEBRAIC_INVARIANT_FAIL=0	PASS	c3/c3-direct-differential-matrix.txt	16640/16640 oracle-equal -> invariants by construction	sha256_matrix_artifact	oracle=src/parser.c body; pc==oc on all 16640 inputs implies pc satisfies same invariants
AC19	PRISTINE_ZERO_SIZE_PASS=YES	PASS	c3/c3-zero-size-guard.txt	256/256 size=0 PASS	see_c3_zero_size	pristine size=0 trivial correctness
AC20	M1_BUILT=YES M1_LINKED=YES M1_EXECUTED=YES M1_REJECTED=YES	PASS	c3/c3-mutation-m1.txt	255/256 divergences rc=1	see_c3_m1	zero_size_guard_broken_caught
AC21	M2_BUILT=YES M2_LINKED=YES M2_EXECUTED=YES M2_REJECTED=YES	PASS	c3/c3-mutation-m2.txt	1246 divergences rc=1	see_c3_m2	aligned_returns_size_caught
AC22	M3_BUILT=YES M3_LINKED=YES M3_EXECUTED=YES M3_REJECTED=YES	PASS	c3/c3-mutation-m3.txt	14617 divergences rc=1	see_c3_m3	remainder_returned_directly_caught
AC23	M4_BUILT=YES M4_LINKED=YES M4_EXECUTED=YES M4_REJECTED=YES	PASS	c3/c3-mutation-m4.txt	16384 divergences rc=1	see_c3_m4	boolean_classifier_caught
AC24	PRISTINE_REVERIFY=PASS	PASS	c3/c3-mutation-summary.txt	16640/16640 PASS after mutations	see_c3_mutation_summary	no contamination
AC25	GENERATION_ROWS=4 UNKNOWN_PROVENANCE_ROWS=0	PASS	c3/c3-generation-provenance.tsv	4_rows_compiler_sha_captured	see_c3_provenance	all compilers distinct sha256
AC26	G0_INDEPENDENT_BUILD=YES G1_INDEPENDENT_BUILD=YES G2_INDEPENDENT_BUILD=YES G3_INDEPENDENT_BUILD=YES	PASS	c3/c3-generation-provenance.tsv	built_from_absent_output=YES	see_c3_provenance	no copy reuse
