CANDIDATE	ORCH	NON_SEM	ALREADY	DEAD	TOO_COUP	SUPER	NOTES
parseToAst	YES	NO	NO	NO	YES	NO	parse driver; mutates cc throughout, owns recovery via subordinate parsers
parseStatement	YES	NO	NO	NO	YES	NO	statement orchestrator; mutates cc->localenv, cc->tmp_locals, cc->ast_list
parseIfStatement	NO	NO	NO	NO	YES	NO	opens child localenv; mutates cc->localenv; cctrlRaiseException
parseForStatement	NO	NO	NO	NO	YES	NO	sets cc->tmp_loop_begin/end; mutates cc->localenv; cctrlRaiseException
parseWhileStatement	NO	NO	NO	NO	YES	NO	sets cc->tmp_loop_begin/end; mutates cc->localenv
parseDoWhileStatement	NO	NO	NO	NO	YES	NO	sets cc->tmp_loop_begin/end; mutates cc->localenv
parseReturnStatement	NO	NO	NO	NO	YES	NO	reads cc->tmp_rettype/tmp_fname/tmp_func; mutates cc->tmp_rettype; cctrlWarning
parseTryStatement	NO	NO	NO	NO	YES	NO	calls parseCompoundStatement (orchestrator); cctrlRaiseException
parseThrowStatement	NO	NO	NO	NO	YES	NO	small body but cctrlTokenExpect chain; raises on missing close-paren
parseCaseLabel	NO	NO	NO	NO	YES	NO	reads cc->tmp_case_list, cc->flags; mutates tmp_case_list
parseDefaultStatement	NO	NO	NO	NO	YES	NO	mutates cc->tmp_default_case
parseBreakStatement	NO	NO	NO	NO	YES	NO	reads cc->tmp_loop_end; cctrlRaiseException
parseContinueStatement	NO	NO	NO	NO	YES	NO	reads cc->tmp_loop_begin; cctrlRaiseException
parseCompoundStatement	YES	NO	NO	NO	YES	NO	6-LOC wrapper that allocates list+Ast then delegates to parseCompoundStatementInternal
parseCompoundStatementInternal	YES	NO	NO	NO	YES	NO	KNOWN-NEGATIVE CONTROL (whole function rejected by PARSER01-CORRECTION01)
parseVariableAssignment	NO	NO	NO	NO	YES	NO	mutates Ast* var->type; reaches parseDeclArrayInitInt; cctrlRaiseExceptionFromTo
parseVariableInitialiser	NO	NO	NO	NO	YES	NO	small driver but reaches parseVariableAssignment
parseDecl	NO	NO	NO	NO	YES	NO	mutates cc->localenv, cc->tmp_locals; cctrlRaiseException
parseDeclOrStatement	NO	NO	NO	NO	YES	NO	dispatches to parseDecl/parseStatement; reads token ring
parseRangeLoop	NO	NO	NO	NO	YES	NO	deeply coupled: parseExpr, parseCreateForRange, parseCreateBinaryOp
parseForLoopInitialiser	NO	NO	NO	NO	YES	NO	mutates cc->localenv, cc->tmp_locals; reaches parseRangeLoop, parseVariableInitialiser
parseOptDeclOrStmt	NO	NO	NO	NO	YES	NO	small but reaches parseDeclOrStatement
parseOptExpr	NO	NO	NO	NO	YES	NO	reaches parseExpr; cctrlTokenExpect
parseDesugarArrayLoop	NO	NO	NO	NO	YES	NO	mutates cc->localenv, cc->tmp_locals; ast construction
parseFunctionDef	YES	NO	NO	NO	YES	NO	function-body orchestrator; mutates cc->localenv/tmp_locals/tmp_func/asm_blocks/global_env
parseExternFunctionProto	NO	NO	NO	NO	YES	NO	mutates cc->localenv, cc->global_env; cctrlRaiseException
parseFunctionOrDef	NO	NO	NO	NO	YES	NO	function-form orchestrator; mutates cc->localenv/tmp_locals
parseAsmFunctionBinding	NO	NO	NO	NO	YES	NO	mutates cc->asm_functions, cc->localenv, cc->asm_funcs; cctrlRaiseException
parseToplevelDef	YES	NO	NO	NO	YES	NO	top-level keyword dispatcher; mutates cc throughout
parseClassDef	NO	NO	NO	NO	YES	NO	mutates cc->clsdefs; reaches parseClassOrUnion
parseUnionDef	NO	NO	NO	NO	YES	NO	mutates cc->uniondefs; reaches parseClassOrUnion
parseClassOrUnion	NO	NO	NO	NO	YES	NO	mutates cc->clsdefs/uniondefs; reaches parseBaseDeclSpec, parsePointerType, etc.
parseClassOrUnionFields	NO	NO	NO	NO	YES	NO	mutates Map fields_dict; reaches parseBaseDeclSpec, parsePointerType, parseClassDef, parseUnionDef
parseClassOffsets	NO	NO	NO	NO	YES	NO	mutates Map fields_dict; reaches parseFlattenAnnonymous, CalcPadding
parseUnionOffsets	NO	NO	NO	NO	YES	NO	mutates Map fields_dict; reaches parseFlattenAnnonymous, CalcPadding
CalcClassSize	NO	YES	NO	NO	NO	NO	pure: walks List<ClsField*>, sums size + padding offset
CalcUnionSize	NO	YES	NO	NO	NO	NO	pure: walks List<ClsField*>, returns max(size)
CalcPadding	NO	YES	NO	NO	NO	NO	pure: integer arithmetic; no host graph
parseFlattenAnnonymous	NO	NO	NO	NO	YES	NO	mutates Map fields_dict (writes); iterates anon->fields; not pointer-identity-critical
parseBaseDeclSpec	NO	NO	NO	NO	YES	NO	mutates cc->localenv indirectly via parseGetType/symbol_table; cctrlRewindUntilStrMatch
parseDeclSpec	NO	NO	NO	NO	YES	NO	wraps parseBaseDeclSpec + parsePointerType
