# ACT_ID=ACT-POLYC-SELFHOST-PARSER-SLICE-RECON01
# ACT_PHASE=C3-VERIFY-FALSIFY
# EVIDENCE_KIND=eligibility-recompute
#
# Independent recomputation of the eligibility predicate (ACT SECT_33)
# from C1 classification columns plus C2 controls. Each row recomputes
# the predicate by direct numeric comparison.

candidate_id	r0	owns_setjmp	writes_current_recovery	host_graph_writes	pointer_identity_ops	parser_callback_count	semantic_callback_count	deterministic_projection	semantic_authority	already_selfhosted	candidate_kind	c2_eligible	c3_eligible	match
CAND-001	0	NO	NO	0	0	0	0	YES	YES	NO	TOKEN_CLASSIFIER	YES	YES	YES
CAND-002	0	NO	NO	0	0	0	0	YES	YES	NO	TYPE_MODIFIER_PRIMITIVE	YES	YES	YES
CAND-003	0	NO	NO	0	0	0	0	YES	YES	NO	TYPE_MODIFIER_PRIMITIVE	YES	YES	YES
CAND-004	0	NO	NO	0	0	0	0	YES	YES	NO	TYPE_MODIFIER_PRIMITIVE	YES	YES	YES
CAND-005	2	NO	NO	0	0	0	0	YES	YES	NO	AST_PROJECTION_PRIMITIVE	YES	YES	YES
CAND-006	2	NO	NO	0	0	0	0	YES	YES	NO	AST_PROJECTION_PRIMITIVE	YES	YES	YES
CAND-007	2	NO	NO	0	0	0	0	YES	YES	NO	AST_PROJECTION_PRIMITIVE	YES	YES	YES
CAND-008	1	NO	NO	0	0	0	0	YES	YES	NO	DELIMITER_PRIMITIVE	YES	YES	YES
CAND-009	0	NO	NO	0	0	0	0	N/A	NO	NO	STATIC_HELPER	NO	NO	YES
CAND-010	0	NO	NO	0	0	0	0	N/A	NO	NO	STATIC_HELPER	NO	NO	YES
CAND-011	3	NO	NO	1	0	0	0	NO	YES	NO	AST_PROJECTION_PRIMITIVE	NO	NO	YES
CAND-012	3	NO	NO	1	1	1	0	YES	YES	NO	TOKEN_CLASSIFIER	NO	NO	YES
CAND-013	3	NO	NO	0	1	0	0	YES	YES	NO	TOKEN_CLASSIFIER	NO	NO	YES
CAND-014	5	YES	YES	5	9	9	0	NO	YES	NO	ORCHESTRATOR	NO	NO	YES

ELIGIBILITY_RECOMPUTE_MATCH=YES
ELIGIBLE_COUNT_RECOMPUTED=8
INELIGIBLE_COUNT_RECOMPUTED=6
