# ACT_ID=ACT-POLYC-SELFHOST-PARSER-SLICE-RECON01
# ACT_PHASE=C3-VERIFY-FALSIFY
# EVIDENCE_KIND=inventory-recompute
#
# Independent recomputation of inventory facts from C1 evidence files
# and direct reads of src/parser.c at the current HEAD.
#
# Each row verifies one C1 classification by re-reading the live source.

candidate_id	c1_file	c1_line_start	c1_line_end	c1_eligibility	c3_recomputed_line_start	c3_recomputed_line_end	c3_recomputed_eligibility	match
CAND-001	src/parser.c	791	823	YES	791	823	YES	YES
CAND-002	src/parser.c	430	438	YES	430	438	YES	YES
CAND-003	src/parser.c	410	428	YES	410	428	YES	YES
CAND-004	src/parser.c	397	408	YES	397	408	YES	YES
CAND-005	src/parser.c	1899	1903	YES	1899	1903	YES	YES
CAND-006	src/parser.c	1907	1930	YES	1907	1930	YES	YES
CAND-007	src/parser.c	1932	1972	YES	1932	1972	YES	YES
CAND-008	src/parser.c	1980	2011	YES	1980	2011	YES	YES
CAND-009	src/parser.c	265	270	NO (NON_SEMANTIC)	265	270	NO (NON_SEMANTIC)	YES
CAND-010	src/parser.c	62	65	NO (NON_SEMANTIC)	62	65	NO (NON_SEMANTIC)	YES
CAND-011	src/parser.c	238	258	NO (HOST_GRAPH_WRITES>0)	238	258	NO (HOST_GRAPH_WRITES>0)	YES
CAND-012	src/parser.c	40	60	NO (PARSER_CALLBACK_COUNT>0)	40	60	NO (PARSER_CALLBACK_COUNT>0)	YES
CAND-013	src/parser.c	121	155	NO (REQUIRES_HOST_GRAPH_IDENTITY)	121	155	NO (REQUIRES_HOST_GRAPH_IDENTITY)	YES
CAND-014	src/parser.c	1752	1880	NO (STATE_BOUNDARY_COST_TOO_HIGH)	1752	1880	NO (STATE_BOUNDARY_COST_TOO_HIGH)	YES

INVENTORY_RECOMPUTE_MATCH=YES
INVENTORY_TOTAL_RECOMPUTED=14
ELIGIBLE_RECOMPUTED=8
INELIGIBLE_RECOMPUTED=6
