path	language	role	compiler_semantic_authority	runtime_reachable	bootstrap_reachable	grandfathered	migration_relevance	evidence
tools/bootstrap/bootstrap01-lexer.HC	POLYC	PolyC equivalent of BootstrapScanTrivia (older variant; superseded by selfhost-lexer-trivia.HC)	YES (was authoritative; superseded)	YES	YES	NO (superseded; remains in tree as legacy reference)	NONE (replaced)	lexer08-fixedpoint evidence; BootstrapScanTrivia now lives in selfhost-lexer-trivia.HC
src/holyc-lib/libtos.a	C/ASM (precompiled library)	HolyC runtime library archive	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/libtos.* files
src/holyc-lib/libtos.dylib	C/ASM (precompiled library)	HolyC runtime library dylib	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/libtos.* files
src/holyc-lib/strings.o	POLYC + C	HolyC strings module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/strings.HC + .o
src/holyc-lib/io.o	POLYC + C	HolyC io module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/io.HC + .o
src/holyc-lib/math.o	POLYC + C	HolyC math module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/math.HC + .o
src/holyc-lib/memory.o	POLYC + C	HolyC memory module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/memory.HC + .o
src/holyc-lib/csv.o	POLYC + C	HolyC csv module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/csv.HC + .o
src/holyc-lib/system.o	POLYC + C	HolyC system module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/system.HC + .o
src/holyc-lib/date.o	POLYC + C	HolyC date module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/date.HC + .o
