surface_id	G0	G1	G2	G3	classification	evidence
INV.LEXER.TRIVIA	OWNED_BY_POLYC	LINKS_POLYC_COMPONENT	LINKS_POLYC_COMPONENT	LINKS_POLYC_COMPONENT	OWNED_BY_POLYC	tools/bootstrap/selfhost-lexer-trivia.HC, src/lexer.c#764-790
INV.LEXER.IDENT	OWNED_BY_POLYC	LINKS_POLYC_COMPONENT	LINKS_POLYC_COMPONENT	LINKS_POLYC_COMPONENT	OWNED_BY_POLYC	tools/bootstrap/bootstrap02-ident.HC, src/lexer.c#928-970
INV.LEXER.SCALAR	OWNED_BY_POLYC	LINKS_POLYC_COMPONENT	LINKS_POLYC_COMPONENT	LINKS_POLYC_COMPONENT	OWNED_BY_POLYC	tools/bootstrap/selfhost-lexer-scalar-literal.HC, src/lexer.c#1128,1265
INV.LEXER.OPCLASS	OWNED_BY_POLYC	LINKS_POLYC_COMPONENT	LINKS_POLYC_COMPONENT	LINKS_POLYC_COMPONENT	OWNED_BY_POLYC	tools/bootstrap/selfhost-lexer-operator-classify.HC, src/lexer.c#1389-1400
INV.LEXER.LINK	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/lexer.c (entire file minus the 4-5 delegated functions); #else branches only
INV.PREPROC.PP	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/lexer.c#lexPreProcIf/lexInclude etc.
INV.PARSER.TOPLEVEL	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/parser.c#parseToAst/parseToplevelDef
INV.PARSER.COMPOUND	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/parser.c#parseCompoundStatementInternal
INV.PARSER.SUBSCRIPTS	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/prslib.c + src/prsutil.c + src/prsasm.c
INV.AST.CREATE	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/ast.c (~2730 LOC)
INV.CCTRL.SCOPE	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/cctrl.c (~1329 LOC)
INV.DIAG.PRINT	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/cctrl.c#cctrlInfo/cctrlWarning/...
INV.IR.LOWER	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/ir.c#irLower*
INV.IR.CGFUN	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/ir.c#irFunctionPrepForCodeGen/irCgFinishFunction
INV.CODEGEN.X86	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/x86_64.c (reference backend, CHARTER-preserved)
INV.CODEGEN.AARCH64	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/aarch64.c (reference backend, CHARTER-preserved)
INV.LLVM.BACKEND	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/llvm-backend.c (LLVM opt-in only)
INV.LSP	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/lsp.c (only when --lsp)
INV.TRANSPILE	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/transpiler.c (only when --transpile)
INV.MAIN.DRIVER	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/main.c + src/cli.c
INV.JIT.X86	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/x86_64-jit.c + src/aarch64-jit.c (REPL only)
INV.MEM.ARENA	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/arena.c + src/mempool.c + src/memory.c + src/memsafe.c
INV.UTIL.MISC	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	OWNED_BY_LEGACY	src/util.h
