target_binary	macro_gating	polyC_components_linked	source_target	make_target
hcc (stage0)	-DHCC_USE_SELFHOST_COMPONENTS NOT set	NONE (legacy C path)	src/lexer.c + src/parser.c + src/prslib.c + src/prsutil.c + src/prsasm.c	hcc
hcc-bootstrap01	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapScanIdent (ABI1)	src/lexer.c (under #ifdef)	hcc-bootstrap01 (Makefile line ~1328)
hcc-bootstrap01	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapClassifyOperator (ABI2)	src/lexer.c (under #ifdef)	hcc-bootstrap01 (line ~1328)
hcc-bootstrap01	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapScanScalarLiteral (ABI3)	src/lexer.c (under #ifdef)	hcc-bootstrap01 (line ~1328)
hcc-bootstrap01	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapScanTrivia (ABI4)	src/lexer.c (under #ifdef)	hcc-bootstrap01 (line ~1328)
hcc-bootstrap01	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapLinkDirective (ABI6)	src/lexer.c (under #ifdef)	hcc-bootstrap01 (line ~1328)
hcc-bootstrap02	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapClassifyOperator (ABI2) recompiled by stage1	src/lexer.c	hcc-bootstrap02 (line ~1801)
hcc-bootstrap02	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapScanScalarLiteral (ABI3) recompiled by stage1	src/lexer.c	hcc-bootstrap02 (line ~1801)
hcc-bootstrap02	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapScanTrivia (ABI4) recompiled by stage1	src/lexer.c	hcc-bootstrap02 (line ~1801)
hcc-bootstrap02	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapLinkDirective (ABI6) recompiled by stage1	src/lexer.c	hcc-bootstrap02 (line ~1801)
hcc-bootstrap03	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapClassifyOperator (ABI2) recompiled by stage2	src/lexer.c	hcc-bootstrap03 (line ~2107)
hcc-bootstrap03	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapScanScalarLiteral (ABI3) recompiled by stage2	src/lexer.c	hcc-bootstrap03 (line ~2107)
hcc-bootstrap03	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapScanTrivia (ABI4) recompiled by stage2	src/lexer.c	hcc-bootstrap03 (line ~2107)
hcc-bootstrap03	-DHCC_USE_SELFHOST_COMPONENTS=1	BootstrapLinkDirective (ABI6) recompiled by stage2	src/lexer.c	hcc-bootstrap03 (line ~2107)
