file	line	function	authority_region	selfhost_status	gating	notes
src/lexer.c	27	vecLexemeToString	lexer/support	LEGACY_C	NONE	utility; small; not on candidate list
src/lexer.c	32	vecLexemeRelease	lexer/support	LEGACY_C	NONE	utility; arena cleanup
src/lexer.c	44	lexemeVecNew	lexer/support	LEGACY_C	NONE	utility
src/lexer.c	48	mapLexerTypeToString	lexer/support	LEGACY_C	NONE	utility
src/lexer.c	66	lexPreProcIf (decl)	lexer/preproc	LEGACY_C	NONE	declaration
src/lexer.c	71	lexemeMemoryInit	lexer/support	LEGACY_C	NONE	arena init
src/lexer.c	78	lexemeMemoryRelease	lexer/support	LEGACY_C	NONE	arena release
src/lexer.c	85	lexemeMemoryStats	lexer/support	LEGACY_C	NONE	debug
src/lexer.c	90	lexerAllocLexeme	lexer/support	LEGACY_C	NONE	arena alloc
src/lexer.c	94	lexerAllocateBuffer	lexer/support	LEGACY_C	NONE	buffer alloc
src/lexer.c	98	lexerReAllocBuffer	lexer/support	LEGACY_C	NONE	buffer realloc
src/lexer.c	192	lexemeNew	lexer/support	LEGACY_C	NONE	lexeme factory
src/lexer.c	202	lexemeSentinal	lexer/support	LEGACY_C	NONE	sentinel
src/lexer.c	212	lexemeAssignOp	lexer/support	LEGACY_C	NONE	lexeme factory
src/lexer.c	225	lexemeTokNew	lexer/support	LEGACY_C	NONE	lexeme factory
src/lexer.c	236	lexemeCopy	lexer/support	LEGACY_C	NONE	lexeme factory
src/lexer.c	242	lexemeNewOp	lexer/support	LEGACY_C	NONE	lexeme factory
src/lexer.c	254	lexRaise	lexer/support	LEGACY_C	NONE	error helper
src/lexer.c	292	lexInit	lexer/state	LEGACY_C	NONE	lexer init (state setup)
src/lexer.c	330	lexerRelease	lexer/state	LEGACY_C	NONE	lexer release
src/lexer.c	338	lexSetBuiltinRoot	lexer/state	LEGACY_C	NONE	root setup
src/lexer.c	343	tokenPunctIs	lexer/support	LEGACY_C	NONE	token query
src/lexer.c	348	tokenIdentIs	lexer/support	LEGACY_C	NONE	token query
src/lexer.c	354	lexemeTypeToString	lexer/support	LEGACY_C	NONE	debug print
src/lexer.c	369	lexemePunctToEncodedString	lexer/support	LEGACY_C	NONE	debug print
src/lexer.c	442	lexemePunctToString	lexer/support	LEGACY_C	NONE	debug print
src/lexer.c	485	lexemePunctToStringWithFlags	lexer/support	LEGACY_C	NONE	debug print
src/lexer.c	490	lexemeToAoStr	lexer/support	LEGACY_C	NONE	lexeme query
src/lexer.c	607	lexemeToString	lexer/support	LEGACY_C	NONE	debug print
src/lexer.c	612	lexemePrint	lexer/support	LEGACY_C	NONE	debug print
src/lexer.c	620	lexNextChar	lexer/state	LEGACY_C	NONE	character stream
src/lexer.c	649	lexRewindChar	lexer/state	LEGACY_C	NONE	character stream
src/lexer.c	654	lexPeekMatch	lexer/state	LEGACY_C	NONE	character stream
src/lexer.c	658	lexPeek	lexer/state	LEGACY_C	NONE	character stream
src/lexer.c	663	lexReadfile	lexer/state	LEGACY_C	NONE	file I/O
src/lexer.c	699	lexPushFile	lexer/state	LEGACY_C	NONE	file push (involves lexLink call site at line 2533)
