surface_id	recomputed_eligible	c2_eligibility	match
INV.LEXER.IDENT	NO (ALREADY_SELFHOSTED)	NO	YES
INV.LEXER.OPCLASS	NO (ALREADY_SELFHOSTED)	NO	YES
INV.LEXER.SCALAR	NO (ALREADY_SELFHOSTED)	NO	YES
INV.LEXER.TRIVIA	NO (ALREADY_SELFHOSTED)	NO	YES
INV.LEXER.LINK	NO (ALREADY_SELFHOSTED)	NO	YES
INV.LEXER.STATE	NO (DOES_NOT_BLOCK_SELFHOST)	NO	YES
INV.LEXER.DISPATCH	NO (NO_ATOMIC_SLICE)	NO	YES
INV.PREPROC.PP	NO (NO_ATOMIC_SLICE)	NO	YES
INV.PARSER.TOPLEVEL	YES	YES	YES
INV.PARSER.COMPOUND	YES	YES	YES
INV.PARSER.DECL	NO (REQUIRES_MULTI_REGION_REWRITE)	NO	YES
INV.PARSER.STMT	NO (NO_ATOMIC_SLICE; gated behind PARSER.COMPOUND)	NO	YES
INV.PARSER.EXPR	NO (REQUIRES_MULTI_REGION_REWRITE)	NO	YES
INV.LSP	NO (NOT_PRODUCTION_AUTHORITY)	NO	YES
INV.TRANSPILE	NO (BACKEND_ONLY)	NO	YES
INV.MAIN.DRIVER	NO (RUNTIME_NOT_COMPILER)	NO	YES
INV.JIT.X86	NO (NOT_PRODUCTION_AUTHORITY)	NO	YES
INV.MEM.ARENA	NO (RUNTIME_NOT_COMPILER)	NO	YES
INV.DIAG.PRINT	NO (NO_ATOMIC_SLICE)	NO	YES
INV.UTIL.MISC	NO (NOT_PRODUCTION_AUTHORITY)	NO	YES
INV.LIBTOS	NO (RUNTIME_NOT_COMPILER)	NO	YES
INV.BUILD.ORCH	NO (NOT_PRODUCTION_AUTHORITY)	NO	YES
INV.QA.ORCH	NO (NOT_PRODUCTION_AUTHORITY)	NO	YES

ELIGIBLE_COUNT=2
  INV.PARSER.COMPOUND
  INV.PARSER.TOPLEVEL
