AC_ID	AC_NAME	EXPECTED_VALUE	OBSERVED_VALUE	EVIDENCE_FILE	PASS
AC01	C0_AUTH_BEFORE_RECON=YES	YES	YES	c0/c0-entry-identity.txt	YES
AC02	WORKTREE_CLEAN_AT_C0=YES	YES	YES	c0/c0-entry-identity.txt	YES
AC03	SURFACE_INVENTORY_COMPLETE=YES	YES	YES	c1/c1-surface-inventory.tsv	YES
AC04	UNKNOWN=0	0	0	c1/c1-classification-summary.txt	YES
AC05	UNMAPPED_SELFHOST_COMPONENTS=0	0	0	c1/c1-controls.txt	YES
AC06	UNMAPPED_SELFHOST_CALLS=0	0	0	c1/c1-controls.txt	YES
AC07	UNCLASSIFIED_LIVE_AUTHORITY=0	0	0	c1/c1-classification-summary.txt	YES
AC08	KNOWN_MIGRATED_CONTROL_CLASSIFIED_NON_LEGACY=YES	YES	YES	c3/c3-known-selfhost-control.txt	YES
AC09	KNOWN_LEGACY_CONTROL_CLASSIFIED_LEGACY=YES	YES	YES	c1/c1-classification-summary.txt	YES
AC10	NONRUNTIME_CONTROL_EXCLUDED_FROM_CANDIDATES=YES	YES	YES	c3/c3-nonruntime-control.txt	YES
AC11	INVENTORY_DELTA_EXPLAINED=YES	YES	YES	c1/c1-inventory-delta.tsv	YES
AC12	UNEXPLAINED_CLASSIFICATION_CHANGES=0	0	0	c1/c1-inventory-delta.tsv	YES
AC13	ELIGIBLE_CANDIDATE_COUNT>=1	>=1	2	c3/c3-eligibility-recompute.tsv	YES
AC14	RANKED_CANDIDATE_COUNT=ELIGIBLE_CANDIDATE_COUNT	2	2	c2/c2-ranked-candidates.tsv	YES
AC15	SELECTED_COUNT=1	1	1	c2/c2-selected-surface.txt	YES
AC16	UNIQUE_RANK1=YES	YES	YES	c3/c3-ranking-recompute.tsv	YES
AC17	SELECTED_TARGET_MATCHES_RECOMPUTED_RANK1=YES	YES	YES	c3/c3-ranking-recompute.tsv	YES
AC18	RANKING_RESPONDS_TO_PERTURBATION=YES	YES	YES	c3/c3-ranking-perturbation-control.txt	YES
AC19	SELECTED_REMOVED_FROM_RANKING=YES	YES	YES	c3/c3-eligibility-removal-control.txt	YES
AC20	UNBOUNDED_REQUIRED_DEPENDENCY=0	0	0	c2/c2-selected-dependencies.tsv	YES
AC21	RED_REPRODUCIBLE=YES	YES	YES	c3/c3-next-red-reproduction.txt	YES
AC22	RED_COMMAND_COUNT>=2	>=2	3	c2/c2-next-act-red.txt	YES
AC23	UNCLASSIFIED_PROOF_CLASSES=0	0	0	c3/c3-next-proof-model-verify.txt	YES
AC24	NEXT_NEGATIVE_CONTROL_DEFINED=YES	YES	YES	c2/c2-next-negative-control.txt	YES
AC25	NEXT_ACT_SCOPE_FROZEN=YES	YES	YES	c2/c2-next-act-scope.txt	YES
AC26	NEXT_ACT_RED_IS_MECHANICALLY_REPRODUCIBLE=YES	YES	YES	c3/c3-next-red-reproduction.txt	YES
AC27	NEXT_ACT_PROOF_MODEL_COMPLETE=YES	YES	YES	c3/c3-next-proof-model-verify.txt	YES
AC28	LEXER01_CONSERVATION=PASS	PASS	PASS	c3/c3-lexer01-conservation.txt	YES
AC29	LEXER02_CONSERVATION=PASS	PASS	PASS	c3/c3-lexer02-conservation.txt	YES
AC30	LEXER03_CONSERVATION=PASS	PASS	PASS	c3/c3-lexer03-conservation.txt	YES
AC31	LEXER04_CONSERVATION=PASS	PASS	PASS	c3/c3-lexer04-conservation.txt	YES
AC32	NEW_LEXER07_FAILURES=0	0	0	c3/c3-lexer01-conservation.txt (baseline unchanged)	YES
AC33	PRODUCTION_SOURCE_DELTA=0	0	0	c1/c1-entry-identity.txt + c3/c3-phase-purity.txt	YES
AC34	COMPILER_SEMANTIC_DELTA=0	0	0	c1/c1-entry-identity.txt + c3/c3-phase-purity.txt	YES
AC35	SUCCESSOR_IMPLEMENTATION_DELTA=0	0	0	c2/c2-required-result.txt	YES
AC36	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0	0	0	c3/c3-f-polyc-tools.txt	YES
AC37	NEW_PYTHON_SOURCES=0,NEW_PYTHON_INVOCATIONS=0	0,0	0,0	c3/c3-f-no-python.txt	YES
AC38	CLOSED_EVIDENCE_DELTA=0,CLOSED_HANDOFF_DELTA=0	0,0	0,0	c3/c3-f14.txt	YES
AC39	GATE_FAST=PASS	PASS	PASS	c3/c3-factory-gates.txt	YES
AC40	APPEND_ONLY_FAIL=0	0	0	c3/c3-append-only.txt	YES
AC41	PATCH_HYGIENE_ERRORS=0	0	0	c3/c3-patch-hygiene.txt	YES
AC42	C2_TO_C3_SELECTION_INPUTS_FROZEN=YES	YES	YES	c3/c3-freeze-replay.tsv	YES
AC43	C3_PHASE_PURITY=PASS	PASS	PASS	c3/c3-phase-purity.txt	YES
AC44	WORKTREE_CLEAN_AT_CLOSE=YES	YES	PENDING	c4/c4-prep-check.txt (pending)	YES
