caller	callee	kind	surface
Makefile:985	scripts/quality/selfhost-component-registry.py	direct_invocation	makefile_recipe
scripts/quality/factory-halt-classification-check.sh:18	scripts/quality/factory-halt-classification.py	exec	shell_wrapper
scripts/quality/factory-halt-classification-test.sh:15	scripts/quality/factory-halt-classification.py	exec	shell_wrapper
scripts/quality/llvm-byte-memory01-test.sh:162	scripts/quality/llvm-cap-table-verifier.py	direct_invocation	shell_recipe
scripts/quality/llvm-intops01-test.sh:168	scripts/quality/llvm-cap-table-verifier.py	direct_invocation	shell_recipe
scripts/quality/llvm-memory01-red-test.sh:69	python3 -c (inline)	inline_subprocess	shell_recipe
scripts/quality/llvm-spike-test.sh:396	python3 -c (inline)	inline_subprocess	shell_recipe
scripts/quality/selfhost-component-registry-test.sh:61..167	scripts/quality/selfhost-component-registry.py	direct_invocation	negative_control
tools/selfhost/selfhost-component.sh:110	scripts/quality/selfhost-component-registry.py	direct_invocation	build_driver
tools/quality/llvm-gep01-test.HC:445..1338	scripts/quality/llvm-cap-table-verifier.py	subprocess_invocation	polyc_harness_to_python
