fixture_id	description	python_rc	python_stdout_sha256	python_stderr_sha256
D01	see ACT §15	0	sha256:2f0d1e8374ae4bbc4e3978bc166281b22c9dcd1617f8cadbaf9fc4338c9a2f4a	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D02	see ACT §15	1	sha256:a6bdfe402c6c3924a8a22908cd1cd70740e1a15b81fd0ad54b00cfa7500019d6	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D03	see ACT §15	1	sha256:89a952db84edfac4db24d08b4a6d6cd321812886bfc1bbb67939828811b4de3a	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D04	see ACT §15	0	sha256:9763607003fd3c8f8d6ad9cb77d73c340de60f12274cb31d3f5258bae28a9c7a	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D05	see ACT §15	0	sha256:c4e1e74b52de46738cf15abc397dde656200df4279a1b1f10d2e1c417bdc588c	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D06	see ACT §15	1	sha256:1a424dc8ef1108877709d9a3893dcd784aa4b514275097ddb607232f9b7afa0a	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D07	see ACT §15	1	sha256:f863b4d7fdf0c560dd6a067ba4fbbe5a5a947fca2ae22bafa8c3cf2aed0f885b	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D08	see ACT §15	0	sha256:1bec2221215686a143c0a10cf98b30c4308871090210af4e75f300d58dbb5a37	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D09	see ACT §15	1	sha256:546031eba2b0d9d8219c64f6a0b8374104fa5dd25ac362ac58160e0334831266	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D10	see ACT §15	1	sha256:55edc47c6db6f18c7564201b6c04f8c1f7d5487e9ed6f8f2799e768953e44eb2	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D11	see ACT §15	1	sha256:02f725f4b4f9901c54cf890829b868f82afe804ee09092a03ade43ef3733254d	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D12	see ACT §15	1	sha256:e64d9173fa503177a005c824a7e337adbea4a0bc0738b0973f6ac8b8f1552c90	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D13	see ACT §15	1	sha256:1bf62ad4d254105d91d523028f6677b99cc4627cc19c00d82aaef9ffb15ed9db	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D14	see ACT §15	1	sha256:5f22e33e89b4e5ed6c80582a4307dae0092fb290729cfa148318020f62b95434	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D15	see ACT §15	0	sha256:60dd75b8e815d309ee623f41fa90fd8220429c60f090b2988de4c64eca2edbd5	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D16	see ACT §15	0	sha256:36bd93fa98ff018994962957c26942329fbf033c0a9e617475f9b8e930bf6007	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D17	see ACT §15	0	sha256:d1e6a1c5951e38efe968dfdb29ae7a7cdec3ebead25b3f7bdfa0417958ff0201	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D18	see ACT §15	0	sha256:d1e6a1c5951e38efe968dfdb29ae7a7cdec3ebead25b3f7bdfa0417958ff0201	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D19	see ACT §15	0	sha256:20389c16f2ca82d8c23cdc78c50234ba44d204070d9c5e437b2f829cb8e9434c	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D20	see ACT §15	0	sha256:89f5d65247b56a809b6832793e9f38553c3cf477fbc487c48206293bb60fedd2	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D21	see ACT §15	0	sha256:2206ca4880352800fb40be38c326b6d64a3339bd1b30615a6936a1d13ad72aad	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D22	see ACT §15	1	sha256:57aaecbf281cd44407b551949f6638b934d9b8e3e754d56a981ac458d4b1b1e5	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D23	see ACT §15	0	sha256:40bb41b847811a7069e82cf40b2cb74df2ad0a5e7a79a2465dce522889ca02c3	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
D24	see ACT §15	0	sha256:0a59f10b4b93b3e3be0cbebb96a8ac18b48dd205fc78cc96a7459a499d606445	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
