ID             OK    STDOUT  STDERR  RC   py_rc po_rc
R1             PASS  EQ      EQ      EQ   0     0    
R2             PASS  EQ      EQ      EQ   0     0    
R3             PASS  EQ      EQ      EQ   1     1    
R4             PASS  EQ      EQ      EQ   1     1    
R5             PASS  EQ      EQ      EQ   1     1    
R6             PASS  EQ      EQ      EQ   1     1    
R7             PASS  EQ      EQ      EQ   1     1    
R8             PASS  EQ      EQ      EQ   0     0    
R9             PASS  EQ      EQ      EQ   0     0    
R10            PASS  EQ      EQ      EQ   0     0    
R11            PASS  EQ      EQ      EQ   0     0    
R12            PASS  EQ      EQ      EQ   0     0    
D01            PASS  EQ      EQ      EQ   0     0    
D02            PASS  EQ      EQ      EQ   1     1    
D03            PASS  EQ      EQ      EQ   1     1    
D04            PASS  EQ      EQ      EQ   0     0    
D05            PASS  EQ      EQ      EQ   0     0    
D06            PASS  EQ      EQ      EQ   1     1    
D07            PASS  EQ      EQ      EQ   1     1    
D08            PASS  EQ      EQ      EQ   0     0    
D09            PASS  EQ      EQ      EQ   1     1    
D10            PASS  EQ      EQ      EQ   1     1    
D11            PASS  EQ      EQ      EQ   1     1    
D12            PASS  EQ      EQ      EQ   1     1    
D13            PASS  EQ      EQ      EQ   1     1    
D14            PASS  EQ      EQ      EQ   1     1    
D15            PASS  EQ      EQ      EQ   0     0    
D16            PASS  EQ      EQ      EQ   0     0    
D17            PASS  EQ      EQ      EQ   0     0    
D18            PASS  EQ      EQ      EQ   0     0    
D19            PASS  EQ      EQ      EQ   0     0    
D20            PASS  EQ      EQ      EQ   0     0    
D21            PASS  EQ      EQ      EQ   0     0    
D22            PASS  EQ      EQ      EQ   1     1    
D23            PASS  EQ      EQ      EQ   0     0    
D24            PASS  EQ      EQ      EQ   0     0    
USAGE          PASS  EQ      EQ      EQ   2     2    
MATRIX         PASS  EQ      EQ      EQ   0     0    
MISSING_FILE   PASS  EQ      EQ      EQ   2     2    

DIFFERENTIAL_PASS=39
DIFFERENTIAL_TOTAL=39
