fixture_id_id	python_rc	polyc_rc	python_stdout_sha256	polyc_stdout_sha256	stdout_eq	python_stderr_sha256	polyc_stderr_sha256	stderr_eq	rc_eq	result
R1	0	0	sha256:36e22f355c4b6119d489557172b44218ab0e0ab8c465fe9924b8afe00c194bf0	sha256:36e22f355c4b6119d489557172b44218ab0e0ab8c465fe9924b8afe00c194bf0	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R2	0	0	sha256:f73a81bed51945ae4558daaa1b8ecf66430cb1e702faa05a9a6883212c013b3a	sha256:f73a81bed51945ae4558daaa1b8ecf66430cb1e702faa05a9a6883212c013b3a	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R3	1	1	sha256:583cd4d0b6730400e8b9969c10fde9d5db901de1446360afcc879a07639ea566	sha256:583cd4d0b6730400e8b9969c10fde9d5db901de1446360afcc879a07639ea566	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R4	1	1	sha256:bc91a137be6cca486e458031eef3bbc28f2ef034f7e0faa917268ccc3d257ae5	sha256:bc91a137be6cca486e458031eef3bbc28f2ef034f7e0faa917268ccc3d257ae5	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R5	1	1	sha256:a7d7cf4064911fd1e858319824566c4e1ca8aa7254b2d1c666b4a59c338ac093	sha256:a7d7cf4064911fd1e858319824566c4e1ca8aa7254b2d1c666b4a59c338ac093	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R6	1	1	sha256:72951e11d812ce479737e537fd1bcf3100a5a7dfd27d8352f84efd44fb48bd68	sha256:72951e11d812ce479737e537fd1bcf3100a5a7dfd27d8352f84efd44fb48bd68	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R7	1	1	sha256:f721dc98fceedb4becf7feb01e2404c9ac6ebdfdb43a4be7590ca328b59e23ef	sha256:f721dc98fceedb4becf7feb01e2404c9ac6ebdfdb43a4be7590ca328b59e23ef	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R8	0	0	sha256:4d89528d0e1a7381d8850c1622b22fca9e7f05a18abdc8a92ade8838724ea731	sha256:4d89528d0e1a7381d8850c1622b22fca9e7f05a18abdc8a92ade8838724ea731	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R9	0	0	sha256:91aec9fa678ed602121ae7705546df457d92d294e9926e08c328b8d4466e4f78	sha256:91aec9fa678ed602121ae7705546df457d92d294e9926e08c328b8d4466e4f78	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R10	0	0	sha256:90ce3c841fd723d4d84860296309b5e308742a23079f5a758b664dc33391c963	sha256:90ce3c841fd723d4d84860296309b5e308742a23079f5a758b664dc33391c963	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R11	0	0	sha256:d1e6a1c5951e38efe968dfdb29ae7a7cdec3ebead25b3f7bdfa0417958ff0201	sha256:d1e6a1c5951e38efe968dfdb29ae7a7cdec3ebead25b3f7bdfa0417958ff0201	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
R12	0	0	sha256:a42fc094c7726a3af5d6afe8c53edc851ed54ce2a29d6d14b00cd62ec87b79da	sha256:a42fc094c7726a3af5d6afe8c53edc851ed54ce2a29d6d14b00cd62ec87b79da	EQ	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EQ	EQ	PASS
