path	line	role	category	notes
Makefile	279	comment	PROVENANCE	# Compiles the B1 PolyC component (tools/bootstrap/bootstrap02-ident.HC)
Makefile	280	comment	PROVENANCE	# to build/bootstrap02-ident.o using the existing stage0 ./hcc.
Makefile	284	compile-step	PRODUCER	  -c tools/bootstrap/bootstrap02-ident.HC \
Makefile	285	output-path	STAGE_IDENTITY	  -o ./build/bootstrap02-ident.o
Makefile	286	other-make	PRODUCER	 @if [ ! -f ./build/bootstrap02-ident.o ]; then \
Makefile	287	other-make	PRODUCER	  echo "bootstrap02-component-build: ./build/bootstrap02-ident.o not produced" >&2; \
Makefile	290	symbol-check	PRODUCER	 @nm ./build/bootstrap02-ident.o | grep -q '_BootstrapScanIdent' \
Makefile	297	output-path	STAGE_IDENTITY	 cc -std=c99 -O2 -Wall -Wextra -o ./build/bootstrap02-ident-oracle \
Makefile	298	harness-build	TEST	  tools/quality/bootstrap02-ident-oracle.c
Makefile	299	other-make	PRODUCER	 @if [ ! -x ./build/bootstrap02-ident-oracle ]; then \
Makefile	300	other-make	PRODUCER	  echo "bootstrap02-oracle: ./build/bootstrap02-ident-oracle not produced" >&2; \
Makefile	309	output-path	STAGE_IDENTITY	 cc -std=c99 -O2 -Wall -Wextra -o ./build/bootstrap02-ident-host \
Makefile	310	harness-link	TEST	  tools/quality/bootstrap02-ident-host.c ./build/bootstrap02-ident.o
Makefile	311	other-make	PRODUCER	 @if [ ! -x ./build/bootstrap02-ident-host ]; then \
Makefile	312	other-make	PRODUCER	  echo "bootstrap02-test: ./build/bootstrap02-ident-host not produced" >&2; \
Makefile	315	other-make	PRODUCER	 ./build/bootstrap02-ident-oracle > /tmp/b02-oracle.txt
Makefile	316	other-make	PRODUCER	 ./build/bootstrap02-ident-host   > /tmp/b02-host.txt
Makefile	332	other-make	PRODUCER	  echo "BOOTSTRAP02_REFERENCE_ORACLE=./build/bootstrap02-ident-oracle"; \
Makefile	333	other-make	PRODUCER	  echo "BOOTSTRAP02_POLYC_OBJECT=./build/bootstrap02-ident.o"; \
Makefile	338	comment	PROVENANCE	# into the modified hcc source tree (with HCC_ENABLE_BOOTSTRAP02_STAGE1=ON).
Makefile	350	cmake-configure	STAGE_IDENTITY	  -DHCC_ENABLE_BOOTSTRAP02_STAGE1=ON \
Makefile	351	cmake-configure	STAGE_IDENTITY	  -DBOOTSTRAP02_IDENT_OBJECT=$(CURDIR)/build/bootstrap02-ident.o
Makefile	370	harness-build	TEST	  tools/quality/bootstrap02-cursor-host.c ./build/bootstrap02-ident.o
Makefile	508	other-make	PRODUCER	  $(HCC_STAGE1_OBJECTS) ./build/bootstrap02-ident.o $(TASM_LIB) -lm -lpthread -ldl
Makefile	532	comment	PROVENANCE	# bootstrap02-ident.HC) using STAGE1 (build/hcc-bootstrap02)
Makefile	533	comment	PROVENANCE	# and emits build/bootstrap03-ident.stage1.o.
Makefile	536	comment	PROVENANCE	# from build/bootstrap02-ident.o so that the build graph cannot
Makefile	548	other-make	PRODUCER	 @rm -f ./build/bootstrap03-ident.stage1.o
Makefile	550	compile-step	PRODUCER	  -c tools/bootstrap/bootstrap02-ident.HC \
Makefile	551	output-path	STAGE_IDENTITY	  -o ./build/bootstrap03-ident.stage1.o
Makefile	552	other-make	PRODUCER	 @if [ ! -f ./build/bootstrap03-ident.stage1.o ]; then \
Makefile	553	other-make	PRODUCER	  echo "bootstrap03-component-build: ./build/bootstrap03-ident.stage1.o not produced" >&2; \
Makefile	556	symbol-check	PRODUCER	 @nm ./build/bootstrap03-ident.stage1.o | grep -q '_BootstrapScanIdent' \
Makefile	558	provenance-print	PROVENANCE	 @echo "BOOTSTRAP03_STAGE1_B1_OBJECT=./build/bootstrap03-ident.stage1.o"
Makefile	563	comment	PROVENANCE	# source tree with HCC_ENABLE_BOOTSTRAP03_STAGE2=ON.
Makefile	566	comment	PROVENANCE	# and the stage0-produced B1 object (./build/bootstrap02-ident.o)
Makefile	571	comment	PROVENANCE	# distinct path (build/bootstrap03-ident.stage1.o vs
Makefile	572	comment	PROVENANCE	# build/bootstrap02-ident.o) makes accidental reuse impossible.
Makefile	574	other-make	PRODUCER	 @if [ ! -f ./build/bootstrap03-ident.stage1.o ]; then \
Makefile	575	other-make	PRODUCER	  echo "bootstrap03-stage2: ./build/bootstrap03-ident.stage1.o missing. Run: make bootstrap03-component-build" >&2; \
Makefile	586	cmake-configure	STAGE_IDENTITY	  -DHCC_ENABLE_BOOTSTRAP02_STAGE1=ON \
Makefile	587	cmake-configure	STAGE_IDENTITY	  -DBOOTSTRAP02_IDENT_OBJECT=$(CURDIR)/build/bootstrap02-ident.o \
Makefile	588	cmake-configure	STAGE_IDENTITY	  -DHCC_ENABLE_BOOTSTRAP03_STAGE2=ON \
Makefile	589	cmake-configure	STAGE_IDENTITY	  -DBOOTSTRAP03_IDENT_OBJECT=$(CURDIR)/build/bootstrap03-ident.stage1.o
Makefile	601	comment	PROVENANCE	# Reuses tools/quality/bootstrap02-ident-host.c /
