ordinal	section	assertion_id	legacy_result	observable
01	toolchain	toolchain_avail	PASS	hcc + llvm-as + opt executable and invocable (legacy stdout line 1)
02	positive_constant_zero	read0_load_i8	PASS	src/tests/llvm-gep01/read0.HC compiles; .ll contains "load i8, ptr %" (legacy stdout line 2)
03	positive_constant_nonzero	read2_gep_i8_load_i8	PASS	src/tests/llvm-gep01/read2.HC compiles; .ll contains "getelementptr i8, ptr %<n>, i64 2" AND "load i8, ptr %" (legacy stdout line 3)
04	positive_dynamic_index	readat_dynamic_gep_and_load_i8	PASS	src/tests/llvm-gep01/readat.HC compiles; .ll contains "getelementptr i8, ptr %<n>, i64 %<n>" AND "load i8, ptr %" (legacy stdout line 4 — single combined assertion)
05	positive_dynamic_index	readat_shape_dependent_counter	PASS	hcc stderr reports shape_dependent counter >= 1 (legacy stdout line 5; observed value: 3)
06	b0_multiread	twodigits_load_gep_counts	PASS	src/tests/llvm-gep01/twodigits.HC compiles; >= 2 occurrences of "load i8, ptr %" AND >= 1 occurrence of "getelementptr i8" (legacy stdout line 6)
07	llvm_textual_structure	readat_gep_shape	PASS	readat emitted .ll contains "getelementptr i8, ptr %<n>, i64 %<n>" (legacy stdout line 7)
08	llvm_textual_structure	gep_used_as_load_address	PASS	readat emitted .ll contains "load i8, ptr %gep_i8" (legacy stdout line 8)
09	independent_llvm_as	llvm_as_read0	PASS	llvm-as accepts read0.ll (legacy stdout line 9)
10	independent_llvm_as	llvm_as_read2	PASS	llvm-as accepts read2.ll (legacy stdout line 10)
11	independent_llvm_as	llvm_as_readat	PASS	llvm-as accepts read-at.ll (legacy stdout line 11)
12	independent_llvm_as	llvm_as_b0_multiread	PASS	llvm-as accepts b0-multiread.ll (legacy stdout line 12)
13	independent_opt_verify	opt_verify_read0	PASS	opt --passes=verify accepts read0.bc (legacy stdout line 13)
14	independent_opt_verify	opt_verify_read2	PASS	opt --passes=verify accepts read2.bc (legacy stdout line 14)
15	independent_opt_verify	opt_verify_readat	PASS	opt --passes=verify accepts read-at.bc (legacy stdout line 15)
16	independent_opt_verify	opt_verify_b0_multiread	PASS	opt --passes=verify accepts b0-multiread.bc (legacy stdout line 16)
17	no_ptrtoint_inttoptr	no_ptrtoint_read0	PASS	read0.ll contains zero "ptrtoint"/"inttoptr" matches (legacy stdout line 17)
18	no_ptrtoint_inttoptr	no_ptrtoint_read2	PASS	read2.ll contains zero "ptrtoint"/"inttoptr" matches (legacy stdout line 18)
19	no_ptrtoint_inttoptr	no_ptrtoint_readat	PASS	read-at.ll contains zero "ptrtoint"/"inttoptr" matches (legacy stdout line 19)
20	no_ptrtoint_inttoptr	no_ptrtoint_b0_multiread	PASS	b0-multiread.ll contains zero "ptrtoint"/"inttoptr" matches (legacy stdout line 20)
21	no_inbounds	no_inbounds_read0	PASS	read0.ll contains zero "getelementptr inbounds" matches (legacy stdout line 21)
22	no_inbounds	no_inbounds_read2	PASS	read2.ll contains zero "getelementptr inbounds" matches (legacy stdout line 22)
23	no_inbounds	no_inbounds_readat	PASS	read-at.ll contains zero "getelementptr inbounds" matches (legacy stdout line 23)
24	no_inbounds	no_inbounds_b0_multiread	PASS	b0-multiread.ll contains zero "getelementptr inbounds" matches (legacy stdout line 24)
25	negative_non_i8	i64idx_rejected_with_diagnostic	PASS	src/tests/llvm-gep01/i64idx.HC fails to compile; hcc stderr matches "LLVM_BACKEND_UNSUPPORTED_POINTER.*scale=8|IR_LOAD_DEREF with non-zero disp or scaled-index" (legacy stdout line 25 — single combined assertion)
26	capability_status	ir_gep_rejected	PASS	llvm-cap-table-verifier output shows "IR_GEP" line ending "(REJECTED)" (legacy stdout line 26)
27	capability_status	ir_lea_rejected	PASS	llvm-cap-table-verifier output shows "IR_LEA" line ending "(REJECTED)" (legacy stdout line 27)
28	capability_status	ir_iadd_supported	PASS	llvm-cap-table-verifier output shows "IR_IADD" line ending "(SUPPORTED)" (legacy stdout line 28)
29	determinism	determinism_readat	PASS	Two hcc --emit-llvm invocations of readat.HC produce byte-identical .ll (legacy stdout line 29)
30	determinism	determinism_twodigits	PASS	Two hcc --emit-llvm invocations of twodigits.HC produce byte-identical .ll (legacy stdout line 30)
