ordinal	section	assertion_id	legacy_bash	polyc	match
01	toolchain	toolchain_avail	PASS	PASS	MATCH
02	positive_constant_zero	read0_load_i8	PASS	PASS	MATCH
03	positive_constant_nonzero	read2_gep_i8_load_i8	PASS	PASS	MATCH
04	positive_dynamic_index	readat_dynamic_gep_and_load_i8	PASS	PASS	MATCH
05	positive_dynamic_index	readat_shape_dependent_counter	PASS	PASS	MATCH
06	b0_multiread	twodigits_load_gep_counts	PASS	PASS	MATCH
07	llvm_textual_structure	readat_gep_shape	PASS	PASS	MATCH
08	llvm_textual_structure	gep_used_as_load_address	PASS	PASS	MATCH
09	independent_llvm_as	llvm_as_read0	PASS	PASS	MATCH
10	independent_llvm_as	llvm_as_read2	PASS	PASS	MATCH
11	independent_llvm_as	llvm_as_readat	PASS	PASS	MATCH
12	independent_llvm_as	llvm_as_b0_multiread	PASS	PASS	MATCH
13	independent_opt_verify	opt_verify_read0	PASS	PASS	MATCH
14	independent_opt_verify	opt_verify_read2	PASS	PASS	MATCH
15	independent_opt_verify	opt_verify_readat	PASS	PASS	MATCH
16	independent_opt_verify	opt_verify_b0_multiread	PASS	PASS	MATCH
17	no_ptrtoint_inttoptr	no_ptrtoint_read0	PASS	PASS	MATCH
18	no_ptrtoint_inttoptr	no_ptrtoint_read2	PASS	PASS	MATCH
19	no_ptrtoint_inttoptr	no_ptrtoint_readat	PASS	PASS	MATCH
20	no_ptrtoint_inttoptr	no_ptrtoint_b0_multiread	PASS	PASS	MATCH
21	no_inbounds	no_inbounds_read0	PASS	PASS	MATCH
22	no_inbounds	no_inbounds_read2	PASS	PASS	MATCH
23	no_inbounds	no_inbounds_readat	PASS	PASS	MATCH
24	no_inbounds	no_inbounds_b0_multiread	PASS	PASS	MATCH
25	negative_non_i8	i64idx_rejected_with_diagnostic	PASS	PASS	MATCH
26	capability_status	ir_gep_rejected	PASS	PASS	MATCH
27	capability_status	ir_lea_rejected	PASS	PASS	MATCH
28	capability_status	ir_iadd_supported	PASS	PASS	MATCH
29	determinism	determinism_readat	PASS	PASS	MATCH
30	determinism	determinism_twodigits	PASS	PASS	MATCH
