rank	path	loc	category	runtime_ready	oracle_ready	risk	estimated_reduction	score	reason
rank	path	loc	category	runtime_ready	oracle_ready	risk	estimated_reduction	score	reason
1	scripts/quality/factory-halt-classification-test.sh	182	NEEDS_FACTORY_REDESIGN	4	5	1	182	17	score=17 iso=1 runtime=4 oracle=5 dep=5 risk=1
2	scripts/quality/factory-v2-commit-msg-check.sh	218	NEEDS_FACTORY_REDESIGN	4	5	1	218	16	score=16 iso=1 runtime=4 oracle=5 dep=5 risk=1
3	scripts/quality/factory-halt-classification-check.sh	187	NEEDS_FACTORY_REDESIGN	4	4	1	187	15	score=15 iso=1 runtime=4 oracle=4 dep=5 risk=1
4	scripts/quality/factory-v2-test.sh	465	NEEDS_FACTORY_REDESIGN	5	5	3	465	11	score=11 iso=1 runtime=5 oracle=5 dep=5 risk=3
5	scripts/quality/ir-return-slot-forwarding01-test.sh	171	DEFER_HIGH_RISK	5	4	4	171	9	score=9 iso=1 runtime=5 oracle=4 dep=5 risk=4
6	scripts/quality/factory-append-only-test.sh	373	DEFER_HIGH_RISK	5	5	5	373	8	score=8 iso=1 runtime=5 oracle=5 dep=4 risk=5
7	scripts/quality/factory-closure-status-check.sh	352	NEEDS_FACTORY_REDESIGN	4	3	2	352	8	score=8 iso=1 runtime=4 oracle=3 dep=5 risk=2
8	scripts/quality/llvm-memory01-red-test.sh	194	DEFER_HIGH_RISK	5	5	5	194	8	score=8 iso=1 runtime=5 oracle=5 dep=5 risk=5
9	scripts/quality/factory-v2-range-check.sh	249	DEFER_HIGH_RISK	5	5	5	249	7	score=7 iso=1 runtime=5 oracle=5 dep=5 risk=5
10	scripts/quality/gate-fast.sh	250	DEFER_HIGH_RISK	4	5	4	250	7	score=7 iso=1 runtime=4 oracle=5 dep=5 risk=4
11	scripts/quality/llvm-intops01-test.sh	230	DEFER_HIGH_RISK	5	5	5	230	7	score=7 iso=1 runtime=5 oracle=5 dep=5 risk=5
12	scripts/quality/llvm-byte-memory01-test.sh	235	DEFER_HIGH_RISK	5	4	5	235	5	score=5 iso=1 runtime=5 oracle=4 dep=5 risk=5
13	scripts/quality/llvm-memory01-test.sh	382	DEFER_HIGH_RISK	5	3	4	382	5	score=5 iso=1 runtime=5 oracle=3 dep=5 risk=4
14	scripts/quality/llvm-spike-contract-check.sh	362	DEFER_HIGH_RISK	5	3	4	362	5	score=5 iso=1 runtime=5 oracle=3 dep=5 risk=4
15	scripts/quality/harness-evidence-isolation-test.sh	123	NEEDS_RUNTIME_PRIMITIVE	3	4	5	123	0	score=0 iso=1 runtime=3 oracle=4 dep=5 risk=5
16	scripts/quality/gate-push.sh	480	NEEDS_RUNTIME_PRIMITIVE	3	5	5	480	-1	score=-1 iso=1 runtime=3 oracle=5 dep=5 risk=5
17	scripts/quality/llvm-memory01-nc5-probe.sh	155	NEEDS_RUNTIME_PRIMITIVE	3	3	5	155	-2	score=-2 iso=1 runtime=3 oracle=3 dep=5 risk=5
18	scripts/quality/native-x86-float-cmp-parity01-test.sh	438	NEEDS_RUNTIME_PRIMITIVE	3	4	5	438	-3	score=-3 iso=1 runtime=3 oracle=4 dep=5 risk=5
19	scripts/quality/llvm-float01-test.sh	371	NEEDS_RUNTIME_PRIMITIVE	3	3	5	371	-4	score=-4 iso=1 runtime=3 oracle=3 dep=5 risk=5
20	scripts/quality/llvm-spike-test.sh	830	NEEDS_RUNTIME_PRIMITIVE	3	3	5	830	-6	score=-6 iso=1 runtime=3 oracle=3 dep=5 risk=5
